title,resolution,emdb_id,fitted_pdbs,xref_UNIPROTKB,xref_ALPHAFOLD,Q-score,atom_inclusion,recommended_contour_level
State 2c(S2c) of yeast 80S ribosome bound to compact eEF2 and 2 tRNAs during peptidyl transferation,3.4,EMD-38660,8xu8,"P05738,P38011,P05740,Q3E757,P0CX29,P05749,Q02753,P38061,Q3E792,P0C2H8,P0CX51,P38701,P05737,P41057,P0CX55,P07280,P05750,P0CX33,P04456,P87262,P0CX35,P39938,Q12690,P0CX39,P04650,P04449,P05747,P14120,P48589,P05745,Q08745,P26786,P0CX47,Q3E7X9,P49167,Q01855,P0CX49,P05739,P14126,P41805,P0CX84,P32324,P32905,P0CX41,P0CX86,P39516,P49166,P0CX37,P33442,P0CX45,P0CX27,P05744,P25443,P0C0W1,P26321,P0CX82,P0CX25,P35997,P10664,P05756,P36105,P05748,P26783,P0C2H6,P05759,O13516,P0C0V8,P17076,P02407,P05743,P0CH08,P02406,P0CX31,P26784,P0CX23","P05738,P38011,P05740,Q3E757,P0CX29,P05749,Q02753,P38061,Q3E792,P0C2H8,P0CX51,P38701,P05737,P41057,P0CX55,P07280,P05750,P0CX33,P04456,P87262,P0CX35,P39938,Q12690,P0CX39,P04650,P04449,P05747,P14120,P48589,P05745,Q08745,P26786,P0CX47,Q3E7X9,P49167,Q01855,P0CX49,P05739,P14126,P41805,P0CX84,P32324,P32905,P0CX41,P0CX86,P39516,P49166,P0CX37,P33442,P0CX45,P0CX27,P05744,P25443,P0C0W1,P26321,P0CX82,P0CX25,P35997,P10664,P05756,P36105,P05748,P26783,P0C2H6,P05759,O13516,P0C0V8,P17076,P02407,P05743,P0CH08,P02406,P0CX31,P26784,P0CX23",0.414,0.75,0.295
"Hypomethylated yeast 80S bound with Taura syndrome virus (TSV) internal ribosome entry site (IRES), eEF2, GDP, and sordarin, Structure I",3.08,EMD-40998,8t3b,"P38011,P05738,P05740,A0A6A5Q7I9,P0CX29,P05749,Q02753,P06367,A0A6A5PWR1,A0A6A5PSE9,P0CX51,A0A6A5Q8I3,P0C2H8,P05737,P0CX55,P07280,P0CX33,P0CX35,P04456,P87262,A0A1L4AA68,Q12690,P0CX39,P04650,A0A6A5Q2N7,P14120,Q08745,A0A6A5Q3W0,A0A6A5PY83,B3LMD0,A0A6A5Q1M9,P26786,P05745,P0CX47,A0A6A5PV92,P14126,P0CX49,A0A6A5Q0W8,P0CX84,P32905,A0A6A5Q0E8,A0A6A5PUL8,A0A6A5Q3Q1,P0CX41,P0CX86,P32324,P49166,A0A6A5PWF7,P0CX37,P0CX45,P0CX27,P05744,A0A6A5Q700,P35997,P0CX82,P0CX25,P05756,A0A6A5PRY4,O13516,P36105,A0A6A5PZ18,P0C0V8,P05748,P0C2H6,P17076,P02407,A0A6A5PVE9,P05743,A0A6A5Q6F2,P0CH08,P0CX31,P02406,A0A6A5PU37,P26784,Q02326","P38011,P05738,P05740,A0A6A5Q7I9,P0CX29,P05749,Q02753,P06367,A0A6A5PWR1,A0A6A5PSE9,P0CX51,A0A6A5Q8I3,P0C2H8,P05737,P0CX55,P07280,P0CX33,P0CX35,P04456,P87262,A0A1L4AA68,Q12690,P0CX39,P04650,A0A6A5Q2N7,P14120,Q08745,A0A6A5Q3W0,A0A6A5PY83,B3LMD0,A0A6A5Q1M9,P26786,P05745,P0CX47,A0A6A5PV92,P14126,P0CX49,A0A6A5Q0W8,P0CX84,P32905,A0A6A5Q0E8,A0A6A5PUL8,A0A6A5Q3Q1,P0CX41,P0CX86,P32324,P49166,A0A6A5PWF7,P0CX37,P0CX45,P0CX27,P05744,A0A6A5Q700,P35997,P0CX82,P0CX25,P05756,A0A6A5PRY4,O13516,P36105,A0A6A5PZ18,P0C0V8,P05748,P0C2H6,P17076,P02407,A0A6A5PVE9,P05743,A0A6A5Q6F2,P0CH08,P0CX31,P02406,A0A6A5PU37,P26784,Q02326",0.414,0.755,0.3
Structure of the U11 snRNP core,3.1,EMD-51234,9gcm,"Q16560,Q8N8D1,Q9BV90","Q16560,Q8N8D1,Q9BV90",0.414,0.765,0.065
Nog1-TAP associated immature ribosomal particle population B from S. cerevisiae,3.4,EMD-12892,7oh3,"P05738,P40078,Q08746,P05740,Q02892,P05749,Q02753,P38061,P0C2H8,P05737,P04456,P87262,Q12690,P04650,Q02326,P33201,P14120,P05745,P38202,P36160,P49167,P0CX49,P14126,P0CX84,P0CX41,Q07915,P49166,Q12522,P0CX45,P53188,P05744,P25382,P26321,P0CX82,P0CX25,P53742,P10664,P36105,P05748,P0C2H6,P40010,P17076,P0C0W9,P05743,P02406,P26784,P0CX23","P05738,P40078,Q08746,P05740,Q02892,P05749,Q02753,P38061,P0C2H8,P05737,P04456,P87262,Q12690,P04650,Q02326,P33201,P14120,P05745,P38202,P36160,P49167,P0CX49,P14126,P0CX84,P0CX41,Q07915,P49166,Q12522,P0CX45,P53188,P05744,P25382,P26321,P0CX82,P0CX25,P53742,P10664,P36105,P05748,P0C2H6,P40010,P17076,P0C0W9,P05743,P02406,P26784,P0CX23",0.416,0.859,0.026
Nog1-TAP associated immature ribosomal particle population C from S. cerevisiae,3.1,EMD-12905,7ohq,"P05738,P38779,P40078,Q08746,P05740,Q02892,P05749,Q02753,P38061,P0C2H8,P05737,P04456,P87262,P53927,Q12690,P04650,Q02326,P33201,P14120,P05745,Q12080,P38202,P36160,P49167,P0CX49,P14126,P0CX84,P0CX41,Q07915,P49166,P40693,Q12522,P0CX45,P53188,P05744,P25382,P26321,P0CX82,P53261,P0CX25,P53742,P10664,P36105,P05748,P0C2H6,P40010,P17076,P0C0W9,P05743,P02406,P26784,P0CX23","P05738,P38779,P40078,Q08746,P05740,Q02892,P05749,Q02753,P38061,P0C2H8,P05737,P04456,P87262,P53927,Q12690,P04650,Q02326,P33201,P14120,P05745,Q12080,P38202,P36160,P49167,P0CX49,P14126,P0CX84,P0CX41,Q07915,P49166,P40693,Q12522,P0CX45,P53188,P05744,P25382,P26321,P0CX82,P53261,P0CX25,P53742,P10664,P36105,P05748,P0C2H6,P40010,P17076,P0C0W9,P05743,P02406,P26784,P0CX23",0.417,0.874,0.021
"Cryo-EM structure of the human SSU processome, state pre-A1",3.6,EMD-23936,7mq8,"Q9H6R4,P08708,P62241,Q15269,P62081,Q9Y324,Q9UNX4,P62263,P42677,P62701,Q9NY61,Q9Y2X3,O00566,P62244,Q9NV06,P62753,Q9BVJ6,P62847,O75691,P62280,Q12788,Q9BSC4,Q9NV31,Q969X6,P62277,P55769,O15213,Q9NRX1,Q9NYH9,O00567,P62249,Q5QJE6,P62266,Q8IWA0,Q9NQZ2,Q13601,Q9Y3A2,Q8NDD1,Q15061,P62979,P46782,P22087,Q9H583,Q9UMY1,Q8TED0,Q8NEJ9,Q9Y3A4,Q92979,Q8NI36,Q9Y5J1,Q9Y2P8,Q13895,O43818,Q96G21,P61247,P25398,P62857,P46781,Q9H0A0","Q9H6R4,P08708,P62241,Q15269,P62081,Q9Y324,Q9UNX4,P62263,P42677,P62701,Q9NY61,Q9Y2X3,O00566,P62244,Q9NV06,P62753,Q9BVJ6,P62847,P62280,Q12788,Q9BSC4,Q9NV31,Q969X6,P62277,P55769,O15213,Q9NRX1,Q9NYH9,O00567,P62249,Q5QJE6,P62266,Q8IWA0,Q9NQZ2,Q13601,Q9Y3A2,Q8NDD1,Q15061,P62979,P46782,P22087,Q9H583,Q9UMY1,Q8TED0,Q8NEJ9,Q9Y3A4,Q92979,Q8NI36,Q9Y5J1,Q9Y2P8,Q13895,O43818,Q96G21,P61247,P25398,P62857,P46781,Q9H0A0",0.417,0.744,2.68
Yeast U1 snRNP with humanized U1C Zinc-Finger domain,3.49,EMD-43753,8w2o,"Q02260,P43321,P32605,Q00916,P40204,P53207,Q06217,P40018,Q12330,Q03782,Q07508,P54999,Q05900,Q03776,P39682,Q00539","Q02260,P43321,P32605,Q00916,P40204,P53207,Q06217,P40018,Q12330,Q03782,Q07508,P54999,Q05900,Q03776,P39682,Q00539",0.417,0.986,0.08
Structure of the human 20S U5 snRNP core,3.1,EMD-18267,8q91,"O95400,O75643,Q9BUQ8,Q6P2Q9,P62306,P62308,Q15029,P62314,P62318,P62316,P14678,O94906,P62304","O95400,O75643,Q9BUQ8,Q6P2Q9,P62306,P62308,Q15029,P62314,P62318,P62316,P14678,O94906,P62304",0.417,0.91,0.12
"Cryo-EM structure of the 90S pre-ribosome from Saccharomyces cerevisiae, state B2",3.9,EMD-11358,6zqb,"Q12460,P42945,P38333,P36144,Q08492,Q06506,Q02354,Q06679,Q05946,P0CX29,P06367,P40470,P0CX51,P25368,P40055,P0CX55,P53276,Q04177,Q12220,P53914,P40079,P0CX35,Q04305,P33750,P0CX39,P53254,Q12136,Q12035,Q02931,P40546,P26786,P25586,P33442,P0CX47,Q3E7X9,Q05498,P32899,P47083,P48234,Q99207,Q08965,P0CX37,P39990,P53941,P38882,P34247,P0C0W1,P35997,Q06631,P15646,P05756,O13516,P26783,Q04500,Q12499,P40362,Q06512,P0CX31,P25635,Q99216,Q06078,P35194,Q06287,Q08096","Q12460,P42945,P38333,P36144,Q08492,Q06506,Q02354,Q06679,Q05946,P0CX29,P06367,P40470,P0CX51,P25368,P40055,P0CX55,P53276,Q04177,Q12220,P53914,P40079,P0CX35,Q04305,P33750,P0CX39,P53254,Q12136,Q12035,Q02931,P40546,P26786,P25586,P33442,P0CX47,Q3E7X9,Q05498,P32899,P47083,P48234,Q99207,Q08965,P0CX37,P39990,P53941,P38882,P34247,P0C0W1,P35997,Q06631,P15646,P05756,O13516,P26783,Q04500,Q12499,P40362,Q06512,P0CX31,P25635,Q99216,Q06078,P35194,Q06287,Q08096",0.418,0.97,0.01
"Yeast post-catalytic P complex spliceosome, state I, overall map",2.31,EMD-47157,9dtr,"P43321,P53277,P40567,Q12330,P53913,P28004,P36048,P33334,Q04048,Q08963,Q03772,Q06217,Q12417,P40968,Q12046,P24384,Q02775,P53333,P25337,P33411,Q03375,P38241,P40204,P32523,P21374,Q02260,Q03654,P40018,Q12309,P54999,P38302,Q06091","P43321,P53277,P40567,Q12330,P53913,P28004,P36048,P33334,Q04048,Q08963,Q03772,Q06217,Q12417,P40968,Q12046,P24384,Q02775,P53333,P25337,P33411,Q03375,P38241,P40204,P32523,P21374,Q02260,Q03654,P40018,Q12309,P54999,P38302,Q06091",0.419,0.383,0.02
Structure of the human nuclear cap-binding complex bound to PHAX and m7G-capped RNA,3.46,EMD-17784,8pnt,"Q09161,P52298,Q9H814","Q09161,P52298,Q9H814",0.419,0.903,0.05
Structure of 60S ribosomal subunit from S. cerevisiae with eIF6 and tRNA,3.2,EMD-14926,7zs5,"P05738,P05740,Q3E757,P05749,Q02753,P38061,P0C2H8,P05737,P04456,P87262,Q12690,P04650,P04449,P05747,P14120,P05745,P0CX23,P49167,P0CX49,P14126,P0CX84,P41805,P0CX41,P49166,Q12522,P0CX45,P0CX27,P05744,P26321,P0CX25,P0CX82,P10664,P36105,P05748,P0C2H6,P17076,P05743,P0CH08,P02406,P26784,Q02326","P05738,P05740,Q3E757,P05749,Q02753,P38061,P0C2H8,P05737,P04456,P87262,Q12690,P04650,P04449,P05747,P14120,P05745,P0CX23,P49167,P0CX49,P14126,P0CX84,P41805,P0CX41,P49166,Q12522,P0CX45,P0CX27,P05744,P26321,P0CX25,P0CX82,P10664,P36105,P05748,P0C2H6,P17076,P05743,P0CH08,P02406,P26784,Q02326",0.421,0.914,0.3
Yeast Vms1 (Q295L)-60S ribosomal subunit complex (pre-state with Arb1),3.6,EMD-4751,6r84,"P05738,P05740,Q3E757,P05749,Q02753,P38061,P05317,Q04311,P0C2H8,P05737,P04456,P87262,Q12690,P04650,P04449,P05747,P14120,Q02326,P05745,P49167,P0CX84,P0CX49,P41805,P14126,P0CX41,P0CX43,P49166,P40024,Q12522,P0CX45,P0CX27,P05744,P26321,P0CX82,P0CX25,P10664,P36105,P05748,P0C2H6,P17076,P0CH08,P05743,P02406,P26784,P0CX53,P0CX23","P05738,P05740,Q3E757,P05749,Q02753,P38061,P05317,Q04311,P0C2H8,P05737,P04456,P87262,Q12690,P04650,P04449,P05747,P14120,Q02326,P05745,P49167,P0CX84,P0CX49,P41805,P14126,P0CX41,P0CX43,P49166,P40024,Q12522,P0CX45,P0CX27,P05744,P26321,P0CX82,P0CX25,P10664,P36105,P05748,P0C2H6,P17076,P0CH08,P05743,P02406,P26784,P0CX53,P0CX23",0.422,0.907,0.025
Cryo-EM structure of S. cerevisiae Rai1-Rat1 dimer.,3.23,EMD-18199,8q6v,"Q02792,P53063","Q02792,P53063",0.422,0.913,0.0577
"Cryo-EM structure of the yeast 80S ribosome with tigecycline, eEF2, Stm1 and eIF5A",3.2,EMD-36839,8k2d,"P05317,P0CX51,P39939,P38701,P05737,P41057,P05750,P04650,P48589,P14120,Q08745,P49167,P0CX49,P0CX37,P0CX45,P0CX27,P05744,P05756,P05738,P06367,P0CX55,P07280,P87262,P05745,Q3E7X9,Q3E792,Q01855,P14126,P0CX84,P0CX43,P35997,P0CX82,P0C0V8,P23301,P0C0W9,P02407,P0CX53,P0CX23,Q02326,P05740,P39015,P05749,Q02753,P0C2H8,P0CX35,P04456,P0CX39,P05747,P26786,P0CX47,P41805,P32905,P0CX41,P0CX86,P49166,P0CX25,P36105,O13516,P0C2H6,P05759,P17076,P05743,P0CH08,P0CX31,P02406,P26784,P38011,P0CX29,P38061,P0CX33,Q12690,P04449,P33442,P32324,P25443,P0C0W1,P26321,P10664,P05748,P26783","P05317,P0CX51,P39939,P38701,P05737,P41057,P05750,P04650,P48589,P14120,Q08745,P49167,P0CX49,P0CX37,P0CX45,P0CX27,P05744,P05756,P05738,P06367,P0CX55,P07280,P87262,P05745,Q3E7X9,Q3E792,Q01855,P14126,P0CX84,P0CX43,P35997,P0CX82,P0C0V8,P23301,P0C0W9,P02407,P0CX53,P0CX23,Q02326,P05740,P39015,P05749,Q02753,P0C2H8,P0CX35,P04456,P0CX39,P05747,P26786,P0CX47,P41805,P32905,P0CX41,P0CX86,P49166,P0CX25,P36105,O13516,P0C2H6,P05759,P17076,P05743,P0CH08,P0CX31,P02406,P26784,P38011,P0CX29,P38061,P0CX33,Q12690,P04449,P33442,P32324,P25443,P0C0W1,P26321,P10664,P05748,P26783",0.423,0.9,0.02
Cryo-EM Structure of Pre-B+ATP Complex (core part),3.7,EMD-18547,8qpb,"P83876,O75643,Q9BUQ8,Q6P2Q9,Q15459,Q15029,O43290,Q8WWY3,O94906,P55769,O43395,Q53GS9,O43172","P83876,O75643,Q9BUQ8,Q6P2Q9,Q15459,Q15029,O43290,Q8WWY3,O94906,P55769,O43395,Q53GS9,O43172",0.423,0.877,0.027
"Hypomethylated yeast 80S bound with Taura syndrome virus (TSV) internal ribosome entry site (IRES), eEF2, GDP, and sordarin, Structure V",3.09,EMD-41002,8t3f,"P38011,P05738,P05740,A0A6A5Q7I9,P0CX29,P05749,Q02753,P06367,A0A6A5PWR1,A0A6A5PSE9,P0CX51,A0A6A5Q8I3,P0C2H8,P05737,P0CX55,P07280,P0CX33,P0CX35,P04456,P87262,A0A1L4AA68,Q12690,P0CX39,P04650,A0A6A5Q2N7,P14120,Q08745,A0A6A5Q3W0,A0A6A5PY83,B3LMD0,A0A6A5Q1M9,P26786,P05745,P0CX47,A0A6A5PV92,P14126,P0CX49,A0A6A5Q0W8,P0CX84,P32905,A0A6A5Q0E8,A0A6A5PUL8,A0A6A5Q3Q1,P0CX41,P0CX86,P32324,P49166,A0A6A5PWF7,P0CX37,P0CX45,P0CX27,P05744,A0A6A5Q700,P35997,P0CX82,P0CX25,P05756,A0A6A5PRY4,O13516,P36105,A0A6A5PZ18,P0C0V8,P05748,P0C2H6,P17076,P02407,A0A6A5PVE9,P05743,A0A6A5Q6F2,P0CH08,P0CX31,P02406,A0A6A5PU37,P26784,Q02326","P38011,P05738,P05740,A0A6A5Q7I9,P0CX29,P05749,Q02753,P06367,A0A6A5PWR1,A0A6A5PSE9,P0CX51,A0A6A5Q8I3,P0C2H8,P05737,P0CX55,P07280,P0CX33,P0CX35,P04456,P87262,A0A1L4AA68,Q12690,P0CX39,P04650,A0A6A5Q2N7,P14120,Q08745,A0A6A5Q3W0,A0A6A5PY83,B3LMD0,A0A6A5Q1M9,P26786,P05745,P0CX47,A0A6A5PV92,P14126,P0CX49,A0A6A5Q0W8,P0CX84,P32905,A0A6A5Q0E8,A0A6A5PUL8,A0A6A5Q3Q1,P0CX41,P0CX86,P32324,P49166,A0A6A5PWF7,P0CX37,P0CX45,P0CX27,P05744,A0A6A5Q700,P35997,P0CX82,P0CX25,P05756,A0A6A5PRY4,O13516,P36105,A0A6A5PZ18,P0C0V8,P05748,P0C2H6,P17076,P02407,A0A6A5PVE9,P05743,A0A6A5Q6F2,P0CH08,P0CX31,P02406,A0A6A5PU37,P26784,Q02326",0.423,0.768,0.3
