title,resolution,emdb_id,fitted_pdbs,sample_info_string,xref_UNIPROTKB,RCSB_classification,Q-score
Cryo-EM of the Sec61-complex bound to the idle 80S ribosome,6.9,EMD-2510,4cg7,"Canis familiaris Sec61 bound to an idle wheat germ 80S ribosome	sample_supramolecule	,Sec61	protein_or_peptide	0.0699	Canis lupus familiaris_9615,Triticum aestivum 80S ribosome	complex_supramolecule		Triticum aestivum_4565",P38377,PROTEIN TRANSPORT,0.074
Cryo-EM structure of the active yeast Ssh1 complex bound to the programmed yeast 80S ribosome bearing a P-site tRNA,8.6,EMD-1667,2ww9,"An active yeast Ssh1 complex bound to a translating yeast ribosome	sample_supramolecule	4.2,Ssh1 complex	ligand	0.0715	Saccharomyces cerevisiae_4932,Yeast 80S ribosome bound to the yeast Ssh1 complex	complex_supramolecule	4.2",,RIBOSOME,0.078
Intermediate binding positions of RRF and EF-G on the post-termination complex,9.9,EMD-1917,3j0e,"Elongation Factor G	protein_or_peptide		Escherichia coli_562,T. thermophilus Ribosome Recyling Factor and E. coli Elongation Factor G bound to E. coli Post Termination Complex	sample_supramolecule	2.5,Ribosome Recyling Factor	protein_or_peptide		Thermus thermophilus_274,70S E. coli Post-Termination Complex	complex_supramolecule	2.5	Escherichia coli_562",P0A6M8,TRANSLATION,0.084
Locking and unlocking of ribosomal motions.,9.0,EMD-1055,"1qza,1qzd,1r2x","70S ribosome from E. coli complex 70S-fMet-tRNA-Phe-tRNA-EF-Tu-GDP-kirromycin.	sample_supramolecule	,Phe-tRNAPhe	rna		Escherichia coli_562,Elongation Factor Tu	protein_or_peptide		Escherichia coli_562,fMet-tRNAfMet	rna		Escherichia coli_562,70S from E. coli	complex_supramolecule		Escherichia coli_562,deacylated tRNA	rna		Escherichia coli_562",P0CE48,RNA,0.086
Nucleotide-driven Triple-state Remodeling of the AAA-ATPase Channel in the Activated Human 26S Proteasome,7.0,EMD-8667,5vft,"26S proteasome regulatory subunit 8	protein_or_peptide	0.043114	Homo sapiens_9606,Proteasome subunit beta type-5	protein_or_peptide	0.022199072	Homo sapiens_9606,Proteasome subunit alpha type-7	protein_or_peptide	0.027382178	Homo sapiens_9606,26S proteasome regulatory subunit 7	protein_or_peptide	0.040494668	Homo sapiens_9606,26S proteasome non-ATPase regulatory subunit 3	protein_or_peptide	0.054755656	Homo sapiens_9606,Proteasome subunit alpha type-5	protein_or_peptide	0.025569957	Homo sapiens_9606,Proteasome subunit beta type-6	protein_or_peptide	0.020471129	Homo sapiens_9606,26S proteasome non-ATPase regulatory subunit 2	protein_or_peptide	0.100313625	Homo sapiens_9606,Proteasome subunit alpha type-3	protein_or_peptide	0.0272871	Homo sapiens_9606,Proteasome subunit beta type-3	protein_or_peptide	0.022841701	Homo sapiens_9606,ZINC ION	ligand	6.5409e-05,sem1	protein_or_peptide	0.006756086	Homo sapiens_9606,26S proteasome regulatory subunit 6B	protein_or_peptide	0.043303543	Homo sapiens_9606,Proteasome subunit alpha type-4	protein_or_peptide	0.028118189	Homo sapiens_9606,Proteasome subunit beta type-4	protein_or_peptide	0.023994324	Homo sapiens_9606,26S proteasome regulatory subunit 6A	protein_or_peptide	0.042104242	Homo sapiens_9606,Proteasome subunit alpha type-1	protein_or_peptide	0.026728428	Homo sapiens_9606,26S proteasome non-ATPase regulatory subunit 1	protein_or_peptide	0.10126318	Homo sapiens_9606,26S proteasome non-ATPase regulatory subunit 4	protein_or_peptide	0.020866023	Homo sapiens_9606,26S proteasome bound to ATP-gammaS	complex_supramolecule		Homo sapiens_9606,26S proteasome non-ATPase regulatory subunit 11	protein_or_peptide	0.042868555	Homo sapiens_9606,Proteasome subunit alpha type-6	protein_or_peptide	0.026727658	Homo sapiens_9606,Proteasome subunit beta type-7	protein_or_peptide	0.023745256	Homo sapiens_9606,26S proteasome non-ATPase regulatory subunit 12	protein_or_peptide	0.052979359	Homo sapiens_9606,Proteasome subunit beta type-1	protein_or_peptide	0.023578986	Homo sapiens_9606,26S proteasome non-ATPase regulatory subunit 14	protein_or_peptide	0.032329355	Homo sapiens_9606,Proteasome (Prosome\, macropain) 26S subunit\, non-ATPase\, 13\, isoform CRA_a	protein_or_peptide	0.042592875	Homo sapiens_9606,26S proteasome non-ATPase regulatory subunit 8	protein_or_peptide	0.030039699	Homo sapiens_9606,26S proteasome regulatory subunit 10B	protein_or_peptide	0.039840891	Homo sapiens_9606,Proteasome subunit alpha type-2	protein_or_peptide	0.02572526	Homo sapiens_9606,Proteasome subunit beta type-2	protein_or_peptide	0.022720146	Homo sapiens_9606,26S proteasome regulatory subunit 4	protein_or_peptide	0.038025398	Homo sapiens_9606,26S proteasome non-ATPase regulatory subunit 7	protein_or_peptide	0.032382094	Homo sapiens_9606,26S proteasome non-ATPase regulatory subunit 6	protein_or_peptide	0.044336906	Homo sapiens_9606","P51665,P48556,P28074,P20618,P60900,Q15008,O00232,P28066,Q13200,P28070,P43686,P49721,P25788,O00231,O14818,P25789,P35998,P28072,P60896,P17980,P25787,P62333,Q9UNM6,Q99436,O00487",HYDROLASE,0.086
E. coli 50S subunit bound HflX protein in presence of ATP (AMP-PNP) and GTP (GMP-PNP) analogs.,8.1,EMD-6979,5zzm,"5S rRNA	rna	0.03879008999999999	Escherichia coli_562,E. coli 50S bound HflX protein in presence of ATP (AMP-PNP) and GTP (GMP-PNP) analogs.	complex_supramolecule		Escherichia coli_511693,23S rRNA	rna	0.9413061879999999	Escherichia coli_562,GTPase HflX	protein_or_peptide	0.048392988	Escherichia coli (strain K12)_83333",P25519,RIBOSOME,0.091
Structure of 30S ribosomal subunit and RNA polymerase complex in rotated state,7.9,EMD-7015,6awc,"30S ribosomal protein S11	protein_or_peptide	0.012388067999999999	Escherichia coli_562,30S ribosomal subunit and RNA polymerase complex	complex_supramolecule	1.3,30S ribosomal protein S4	protein_or_peptide	0.023383002	Escherichia coli_562,30S ribosomal protein S19	protein_or_peptide	0.009057626	Escherichia coli_562,30S ribosomal protein S12	protein_or_peptide	0.013636961	Escherichia coli_562,30S ribosomal protein S2	protein_or_peptide	0.024253942999999997	Escherichia coli_562,DNA-directed RNA polymerase subunit alpha	protein_or_peptide	0.02533983	Escherichia coli_562,30S ribosomal protein S21	protein_or_peptide	0.007763073	Escherichia coli_562,30S ribosomal protein S18	protein_or_peptide	0.007606768	Escherichia coli_562,30S ribosomal subunit	complex_supramolecule		Escherichia coli_562,30S ribosomal protein S14	protein_or_peptide	0.011475363999999998	Escherichia coli_562,30S ribosomal protein S1	protein_or_peptide	0.013310244	Escherichia coli_562,30S ribosomal protein S7	protein_or_peptide	0.016861523	Escherichia coli_562,30S ribosomal protein S10	protein_or_peptide	0.011196988	Escherichia coli_562,30S ribosomal protein S20	protein_or_peptide	0.00950619	Escherichia coli_562,30S ribosomal protein S13	protein_or_peptide	0.012625753	Escherichia coli_562,30S ribosomal protein S15	protein_or_peptide	0.010159620999999999	Escherichia coli_562,30S ribosomal protein S9	protein_or_peptide	0.014554881999999998	Escherichia coli_562,30S ribosomal protein S5	protein_or_peptide	0.016532088	Escherichia coli_562,30S ribosomal protein S3	protein_or_peptide	0.023078784999999997	Escherichia coli_562,16S rRNA	rna	0.498725406	Escherichia coli_562,RNA polymerase	complex_supramolecule		Escherichia coli_562,30S ribosomal protein S8	protein_or_peptide	0.014015361	Escherichia coli_562,30S ribosomal protein S6	protein_or_peptide	0.011669370999999998	Escherichia coli_562,30S ribosomal protein S17	protein_or_peptide	0.009263946	Escherichia coli_562,DNA-directed RNA polymerase subunit omega	protein_or_peptide	0.006552496	Escherichia coli_562,30S ribosomal protein S16	protein_or_peptide	0.009207571999999999	Escherichia coli_562,DNA-directed RNA polymerase subunit beta'	protein_or_peptide	0.151537594	Escherichia coli_562,DNA-directed RNA polymerase subunit beta	protein_or_peptide	0.150560562	Escherichia coli_562","B7MCR3,P02358,B7MCR2,P0A8T8,B7MCS9,B7NGD4,B7MBZ1,B7MCT1,B7MCV6,A8A4M2,B7MAE3,B7MIU7,P0A7T1,B7MBF0,B7MCS6,B7MLK7,P0A7W3,P0A7Z6,B7MCS1,B7MCS2,B7MIX3,B7MB86,B7MFL0,B7MCV7,B7MCT6",RIBOSOME,0.095
The Cryo-EM Structure of the Archaeal 50S Ribosomal Subunit in Complex with Initiation Factor 6,6.6,EMD-2012,4adx,"Methanothermobacter thermautotrophicus 50S ribosomal subunit	complex_supramolecule	1.6	Methanothermobacter thermautotrophicus str. Delta H_187420,aIF6	protein_or_peptide	0.023	Methanothermobacter thermautotrophicus str. Delta H_187420,50S ribosomal subunit in complex with archaeal initiation factor 6	sample_supramolecule	1.6",O27648,RIBOSOME,0.095
Nucleotide-driven Triple-state Remodeling of the AAA-ATPase Channel in the Activated Human 26S Proteasome,5.8,EMD-8668,5vfu,"26S protease regulatory subunit 10B	protein_or_peptide	0.039840891	Homo sapiens_9606,Proteasome subunit beta type-5	protein_or_peptide	0.022199072	Homo sapiens_9606,Proteasome subunit alpha type-7	protein_or_peptide	0.027382178	Homo sapiens_9606,26S proteasome non-ATPase regulatory subunit 3	protein_or_peptide	0.054755656	Homo sapiens_9606,Proteasome subunit beta type-6	protein_or_peptide	0.020471129	Homo sapiens_9606,26S protease regulatory subunit 6B	protein_or_peptide	0.04330354299999999	Homo sapiens_9606,26S protease regulatory subunit 7	protein_or_peptide	0.040494668	Homo sapiens_9606,Proteasome subunit alpha type-2	protein_or_peptide	0.025725259999999996	Homo sapiens_9606,Proteasome subunit beta type-3	protein_or_peptide	0.022841701	Homo sapiens_9606,Proteasome subunit alpha type-6	protein_or_peptide	0.026727657999999998	Homo sapiens_9606,ZINC ION	ligand	6.5409e-05,Proteasome subunit alpha type-3	protein_or_peptide	0.027287099999999998	Homo sapiens_9606,26S proteasome non-ATPase regulatory subunit 13	protein_or_peptide	0.042592874999999995	Homo sapiens_9606,Proteasome subunit alpha type-4	protein_or_peptide	0.028118189	Homo sapiens_9606,Proteasome subunit beta type-4	protein_or_peptide	0.023994324	Homo sapiens_9606,26S proteasome non-ATPase regulatory subunit 11	protein_or_peptide	0.042868554999999996	Homo sapiens_9606,Proteasome subunit alpha type-1	protein_or_peptide	0.026728428	Homo sapiens_9606,26S proteasome non-ATPase regulatory subunit 1	protein_or_peptide	0.10126318	Homo sapiens_9606,26S proteasome non-ATPase regulatory subunit 4	protein_or_peptide	0.020866023	Homo sapiens_9606,26S protease regulatory subunit 6A	protein_or_peptide	0.04210424199999999	Homo sapiens_9606,Proteasome subunit beta type-7	protein_or_peptide	0.023745256	Homo sapiens_9606,26S protease regulatory subunit 8	protein_or_peptide	0.043114	Homo sapiens_9606,26S proteasome non-ATPase regulatory subunit 12	protein_or_peptide	0.052979359	Homo sapiens_9606,Sem1	protein_or_peptide	0.008284611	Homo sapiens_9606,26S proteasome bound to ATPgammaS	complex_supramolecule		Homo sapiens_9606,26S protease regulatory subunit 4	protein_or_peptide	0.038799266	Homo sapiens_9606,Proteasome subunit beta type-1	protein_or_peptide	0.023578986	Homo sapiens_9606,26S proteasome non-ATPase regulatory subunit 14	protein_or_peptide	0.032329355	Homo sapiens_9606,26S proteasome non-ATPase regulatory subunit 8	protein_or_peptide	0.030039699	Homo sapiens_9606,26S proteasome non-ATPase regulatory subunit 2	protein_or_peptide	0.10031362499999999	Homo sapiens_9606,Proteasome subunit beta type-2	protein_or_peptide	0.022720146	Homo sapiens_9606,Proteasome subunit alpha type-5	protein_or_peptide	0.025569956999999997	Homo sapiens_9606,26S proteasome non-ATPase regulatory subunit 7	protein_or_peptide	0.032382094	Homo sapiens_9606,26S proteasome non-ATPase regulatory subunit 6	protein_or_peptide	0.044336906	Homo sapiens_9606","P51665,P48556,P28074,P20618,P60900,Q15008,O00232,P28066,Q13200,P28070,P43686,P49721,P25788,O00231,O14818,P25789,P35998,P28072,P60896,P17980,P25787,P62333,Q9UNM6,Q99436,O00487",HYDROLASE,0.098
Following the signal sequence from ribosomal tunnel exit to signal recognition particle.,8.7,EMD-1264,2j37,"signal recognition particle	protein_or_peptide		Triticum sp._4569,ribosome	complex_supramolecule		Triticum sp._4569,mammalian signal recognition particle bound to ribosome nascent chain complex	sample_supramolecule	",P09132,RIBOSOME,0.099
Cryo-EM structure of RNA polymerase I in complex with Rrn3 and Core Factor (Orientation I),7.7,EMD-3592,5n60,"DNA-directed RNA polymerases I and III subunit RPAC2	protein_or_peptide	0.01616786	Baker's yeast_559292,DNA-directed RNA polymerase I subunit RPA43	protein_or_peptide	0.036264852	Baker's yeast_559292,DNA-directed RNA polymerases I and III subunit RPAC1	protein_or_peptide	0.037732613	Baker's yeast_559292,DNA-directed RNA polymerases I\, II\, and III subunit RPABC2	protein_or_peptide	0.017931834	Baker's yeast_559292,RNA polymerase I-specific transcription initiation factor RRN7	protein_or_peptide	0.060435195	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)_559292,RNA polymerase I	complex_supramolecule	0.59	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)_559292,Initiation factor Rrn3	complex_supramolecule	0.07	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)_559292,RNA polymerase I-specific transcription initiation factor RRN11	protein_or_peptide	0.059334262	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)_559292,DNA-directed RNA polymerases I\, II\, and III subunit RPABC3	protein_or_peptide	0.016525363	Baker's yeast_559292,RNA polymerase I-specific transcription initiation factor RRN6	protein_or_peptide	0.102163227	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)_559292,DNA-directed RNA polymerase I subunit RPA190	protein_or_peptide	0.186676969	Baker's yeast_559292,RNA polymerase I in complex with Rrn3 and Core Factor	complex_supramolecule	,ZINC ION	ligand	6.5409e-05,DNA-directed RNA polymerase I subunit RPA49	protein_or_peptide	0.046721707	Baker's yeast_559292,DNA-directed RNA polymerase I subunit RPA12	protein_or_peptide	0.013676566	Baker's yeast_559292,DNA-directed RNA polymerases I\, II\, and III subunit RPABC4	protein_or_peptide	0.007729969	Baker's yeast_559292,DNA-directed RNA polymerases I\, II\, and III subunit RPABC1	protein_or_peptide	0.025117094	Baker's yeast_559292,DNA-directed RNA polymerase I subunit RPA14	protein_or_peptide	0.014599128	Baker's yeast_559292,DNA-directed RNA polymerase I subunit RPA34	protein_or_peptide	0.026933518	Baker's yeast_559292,RNA polymerase I-specific transcription initiation factor RRN3	protein_or_peptide	0.072458258	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)_559292,Core Factor	complex_supramolecule	0.22	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)_559292,DNA-directed RNA polymerases I\, II\, and III subunit RPABC5	protein_or_peptide	0.008290732	Baker's yeast_559292,DNA-directed RNA polymerase I subunit RPA135	protein_or_peptide	0.135910328	Baker's yeast_559292","P40422,P20435,P46669,P28000,P10964,P32786,P20436,Q01080,Q04712,P22139,P47006,P20434,P40992,P22138,P36070,P50106,P07703,P32529",TRANSFERASE,0.102
CryoEM Structure of E. coli Rho-dependent Transcription Pre-termination Complex bound with NusG,7.7,EMD-22115,6xav,"Transcription termination/antitermination protein NusA	protein_or_peptide	0.054932683999999996	Escherichia coli K-12_83333,DNA (29-MER)	dna	0.008813646	Escherichia coli K-12_83333,E. coli Rho-dependent Transcription Pre-termination Complex	complex_supramolecule	0.726	Escherichia coli (strain K12)_83333,DNA-directed RNA polymerase subunit beta'	protein_or_peptide	0.156504969	Escherichia coli K-12_83333,DNA-directed RNA polymerase subunit beta	protein_or_peptide	0.150820875	Escherichia coli K-12_83333,ZINC ION	ligand	6.5409e-05,MAGNESIUM ION	ligand	2.4305e-05,DNA (29-MER)	dna	0.009434063	Escherichia coli K-12_83333,Transcription termination factor Rho	protein_or_peptide	0.047070167999999996	Escherichia coli K-12_83333,DNA-directed RNA polymerase subunit omega	protein_or_peptide	0.010249547	Escherichia coli K-12_83333,RNA (18-MER)	rna	0.00585958	Escherichia coli K-12_83333,DNA-directed RNA polymerase subunit alpha	protein_or_peptide	0.036558679999999996	Escherichia coli K-12_83333,Transcription termination/antitermination protein NusG	protein_or_peptide	0.020560523	Escherichia coli K-12_83333","P0AFF6,P0AG30,P0A7Z4,P0A8T7,P0A800,P0AFG0,P0A8V2",TRANSCRIPTION,0.103
A structural model of the active ribosome-bound membrane protein insertase YidC,8.0,EMD-2705,4utq,"Monomeric YidC bound to ribosome nascent chain complex(F0c)	sample_supramolecule	,Ribosome nascent chain complex	complex_supramolecule		Escherichia coli_562,YidC	protein_or_peptide		Escherichia coli_562",P25714,PROTEIN TRANSPORT,0.107
Structure of mammalian eIF3 in the context of the 43S preinitiation complex,6.0,EMD-3056,5a5t,"eukaryotic initiation factor 1A	protein_or_peptide		Oryctolagus cuniculus_9986,eIF3 octamer core of Rabbit eIF3	sample_supramolecule	0.45,eukaryotic initiation factor 1	protein_or_peptide		Oryctolagus cuniculus_9986,40S small ribosomal subunit	complex_supramolecule		Oryctolagus cuniculus_9986,eukaryotic initiation factor 3	protein_or_peptide		Oryctolagus cuniculus_9986,eukaryotic initiation factor 2	protein_or_peptide		Oryctolagus cuniculus_9986,DHX29	protein_or_peptide		Oryctolagus cuniculus_9986,initiator transfer RNA	rna		Oryctolagus cuniculus_9986",G1SMZ5,HYDROLASE,0.107
Structure of 30S ribosomal subunit and RNA polymerase complex in non-rotated state,6.7,EMD-7014,6awb,"30S ribosomal protein S11	protein_or_peptide	0.012388067999999999	Escherichia coli_562,30S ribosomal subunit and RNA polymerase complex	complex_supramolecule	1.3,30S ribosomal protein S4	protein_or_peptide	0.023383002	Escherichia coli_562,30S ribosomal protein S19	protein_or_peptide	0.009057626	Escherichia coli_562,30S ribosomal protein S12	protein_or_peptide	0.013636961	Escherichia coli_562,30S ribosomal protein S2	protein_or_peptide	0.024253942999999997	Escherichia coli_562,DNA-directed RNA polymerase subunit alpha	protein_or_peptide	0.02533983	Escherichia coli_562,30S ribosomal protein S21	protein_or_peptide	0.007763073	Escherichia coli_562,30S ribosomal protein S18	protein_or_peptide	0.007606768	Escherichia coli_562,30S ribosomal subunit	complex_supramolecule		Escherichia coli_562,30S ribosomal protein S14	protein_or_peptide	0.011475363999999998	Escherichia coli_562,30S ribosomal protein S1	protein_or_peptide	0.013310244	Escherichia coli_562,30S ribosomal protein S7	protein_or_peptide	0.016861523	Escherichia coli_562,30S ribosomal protein S10	protein_or_peptide	0.011196988	Escherichia coli_562,30S ribosomal protein S20	protein_or_peptide	0.00950619	Escherichia coli_562,30S ribosomal protein S13	protein_or_peptide	0.012625753	Escherichia coli_562,30S ribosomal protein S15	protein_or_peptide	0.010159620999999999	Escherichia coli_562,30S ribosomal protein S9	protein_or_peptide	0.014554881999999998	Escherichia coli_562,30S ribosomal protein S5	protein_or_peptide	0.016532088	Escherichia coli_562,30S ribosomal protein S3	protein_or_peptide	0.023078784999999997	Escherichia coli_562,DNA-directed RNA polymerase subunit omega	protein_or_peptide	0.008649694999999999	Escherichia coli_562,16S rRNA	rna	0.498725406	Escherichia coli_562,RNA polymerase	complex_supramolecule		Escherichia coli_562,30S ribosomal protein S8	protein_or_peptide	0.014015361	Escherichia coli_562,30S ribosomal protein S6	protein_or_peptide	0.011669370999999998	Escherichia coli_562,30S ribosomal protein S17	protein_or_peptide	0.009263946	Escherichia coli_562,30S ribosomal protein S16	protein_or_peptide	0.009207571999999999	Escherichia coli_562,DNA-directed RNA polymerase subunit beta'	protein_or_peptide	0.151537594	Escherichia coli_562,DNA-directed RNA polymerase subunit beta	protein_or_peptide	0.150560562	Escherichia coli_562","B7MCR3,P02358,B7MCR2,P0A8T8,B7MCS9,B7NGD4,B7MBZ1,B7MCT1,B7MCV6,A8A4M2,B7MAE3,B7MIU7,P0A7T1,B7MBF0,B7MCS6,B7MLK7,P0A7W3,P0A7Z6,B7MCS1,B7MCS2,B7MIX3,B7MB86,B7MFL0,B7MCV7,B7MCT6",RIBOSOME,0.108
Structural basis for interaction of the ribosome with the switch regions of GTP-bound elongation factors.,7.3,EMD-1315,2om7,"transfer RNA	rna		Thermus thermophilus_274,complex of Thermus thermophilus 70S ribosomes and EF-G-GMPPNP	sample_supramolecule	,Thermus thermophilus 70S ribosome	complex_supramolecule	,elongation factor G	protein_or_peptide		Thermus thermophilus_274",P13551,RIBOSOME,0.108
Cryo-EM structures of ribosomal 80S complexes with termination factors and cricket paralysis virus IRES reveal the IRES in the translocated state,8.7,EMD-2810,"4d5n,4d5l,4d5y","eukaryoric release factor 1	protein_or_peptide	0.05	Homo sapiens_9606,80S ribosome	complex_supramolecule	4.5	Oryctolagus cuniculus_9986,Ribosomal 80S termination complex with CrPV IRES-RNA and eRF1	sample_supramolecule	4.5,Cricket paralysis virus IRES RNA	rna		Cricket paralysis virus_12136",P62495,RIBOSOME/RNA,0.113
E. coli expressome,7.6,EMD-3580,5my1,"30S ribosomal protein S10	protein_or_peptide	0.011755597	Escherichia coli K-12_83333,30S ribosomal protein S14	protein_or_peptide	0.011475363999999998	Escherichia coli K-12_83333,30S ribosomal protein S20	protein_or_peptide	0.009577268	Escherichia coli K-12_83333,30S ribosomal protein S4	protein_or_peptide	0.023383002	Escherichia coli K-12_83333,30S ribosomal protein S5	protein_or_peptide	0.017498203	Escherichia coli K-12_83333,30S ribosomal protein S7	protein_or_peptide	0.019923958999999998	Escherichia coli K-12_83333,DNA-directed RNA polymerase subunit beta'	protein_or_peptide	0.15536678099999998	Escherichia coli K-12_83333,30S ribosomal protein S11	protein_or_peptide	0.013739778	Escherichia coli K-12_83333,DNA-directed RNA polymerase subunit alpha	protein_or_peptide	0.036558679999999996	Escherichia coli K-12_83333,30S ribosomal protein S9	protein_or_peptide	0.014755074	Escherichia coli K-12_83333,ZINC ION	ligand	6.5409e-05,30S ribosomal protein S2	protein_or_peptide	0.026650474999999996	Escherichia coli K-12_83333,30S ribosomal protein S16	protein_or_peptide	0.009207571999999999	Escherichia coli K-12_83333,30S ribosomal protein S8	protein_or_peptide	0.014015361	Escherichia coli K-12_83333,Transcribing RNA Polymerase	complex_supramolecule		Escherichia coli K-12_83333,Translating Ribosome	complex_supramolecule		Escherichia coli K-12_83333,30S ribosomal protein S21	protein_or_peptide	0.008524039	Escherichia coli K-12_83333,30S ribosomal protein S3	protein_or_peptide	0.025900116999999997	Escherichia coli K-12_83333,30S ribosomal protein S19	protein_or_peptide	0.010324159999999999	Escherichia coli K-12_83333,30S ribosomal protein S18	protein_or_peptide	0.008874275999999999	Escherichia coli K-12_83333,DNA-directed RNA polymerase subunit omega	protein_or_peptide	0.010249547	Escherichia coli K-12_83333,30S ribosomal protein S17	protein_or_peptide	0.009593296	Escherichia coli K-12_83333,DNA-directed RNA polymerase subunit beta	protein_or_peptide	0.150820875	Escherichia coli K-12_83333,30S ribosomal protein S15	protein_or_peptide	0.010319881999999999	Escherichia coli K-12_83333,30S ribosomal protein S6	protein_or_peptide	0.015727512	Escherichia coli K-12_83333,30S ribosomal protein S13	protein_or_peptide	0.012997271	Escherichia coli K-12_83333,in vitro reconstituted E. coli expressome consisting of transcribing RNA polymerase and translating ribosome	complex_supramolecule	,30S ribosomal protein S12	protein_or_peptide	0.013636961	Escherichia coli K-12_83333,16S ribosomal RNA	rna	0.499690031	Escherichia coli K-12_83333","P0A7U7,P0A7V3,P0A7U3,P02358,P0AG63,B1X982,P0A7X3,P0A7Z4,P0A7R5,P0A7R9,P0A7S9,P0A7W1,P0A7S3,P0A7V0,B1XBY9,P02359,P0A7W7,P68679,P0AG59,P0A8T7,P0A7T3,P0ADZ4,P0A7V8,P0A7T7",RIBOSOME,0.113
Cryo-EM structure of RNA polymerase I in complex with Rrn3 and Core Factor (Orientation II),7.7,EMD-3591,5n5z,"DNA-directed RNA polymerases I\, II\, and III subunit RPABC3	protein_or_peptide	0.016525363	Baker's yeast_4932,DNA-directed RNA polymerase I subunit RPA190	protein_or_peptide	0.186676969	Baker's yeast_4932,DNA-directed RNA polymerase I subunit RPA14	protein_or_peptide	0.014599128	Baker's yeast_4932,RNA polymerase I-specific transcription initiation factor RRN6	protein_or_peptide	0.102163227	Saccharomyces cerevisiae_4932,RNA polymerase I-specific transcription initiation factor RRN7	protein_or_peptide	0.060435195	Saccharomyces cerevisiae_4932,DNA-directed RNA polymerases I\, II\, and III subunit RPABC1	protein_or_peptide	0.025117094	Baker's yeast_4932,RNA polymerase I in complex with Rrn3 and Core Factor	complex_supramolecule	,ZINC ION	ligand	6.5409e-05,DNA-directed RNA polymerases I and III subunit RPAC1	protein_or_peptide	0.037732613	Baker's yeast_4932,Initiation factor Rrn3	complex_supramolecule	0.07	Saccharomyces cerevisiae_4932,DNA-directed RNA polymerases I\, II\, and III subunit RPABC2	protein_or_peptide	0.017931834	Baker's yeast_4932,Core Factor	complex_supramolecule	0.22	Saccharomyces cerevisiae_4932,DNA-directed RNA polymerases I\, II\, and III subunit RPABC4	protein_or_peptide	0.007729969	Baker's yeast_4932,RNA polymerase I	complex_supramolecule	0.59	Saccharomyces cerevisiae_4932,DNA-directed RNA polymerase I subunit RPA49	protein_or_peptide	0.046721707	Baker's yeast_4932,DNA-directed RNA polymerase I subunit RPA43	protein_or_peptide	0.036264852	Baker's yeast_4932,DNA-directed RNA polymerases I\, II\, and III subunit RPABC5	protein_or_peptide	0.008290732	Baker's yeast_4932,RNA polymerase I-specific transcription initiation factor RRN3	protein_or_peptide	0.072458258	Saccharomyces cerevisiae_4932,RNA polymerase I-specific transcription initiation factor RRN11	protein_or_peptide	0.059334262	Saccharomyces cerevisiae_4932,DNA-directed RNA polymerase I subunit RPA34	protein_or_peptide	0.026933518	Baker's yeast_4932,DNA-directed RNA polymerase I subunit RPA12	protein_or_peptide	0.013676566	Baker's yeast_4932,DNA-directed RNA polymerase I subunit RPA135	protein_or_peptide	0.135910328	Baker's yeast_4932,DNA-directed RNA polymerases I and III subunit RPAC2	protein_or_peptide	0.01616786	Baker's yeast_4932","P40422,P20435,P46669,P28000,P10964,P32786,P20436,Q01080,Q04712,P22139,P47006,P20434,P40992,P22138,P36070,P50106,P07703,P32529",TRANSCRIPTION,0.116
