title,resolution,emdb_id,fitted_pdbs,sample_info_string,xref_UNIPROTKB,RCSB_classification,Q-score
Rea1 AAA2L-H2alpha deletion mutant in AMPPNP State,7.8,EMD-0329,6i27,"Rea1 (MIDASIN) AAA2L-H2alpha deletion mutant in AMPPNP State - electron density map	complex_supramolecule		Saccharomyces cerevisiae_4932,Midasin\,Midasin\,Midasin\,Midasin\,Midasin\,Midasin\,Midasin	protein_or_peptide	0.54653825	Saccharomyces cerevisiae_4932",Q12019,MOTOR PROTEIN,0.144
Structure of eEF3 and the mechanism of transfer RNA release from the E-site.,9.9,EMD-1233,2ix8,"programmed 80S ribosome	complex_supramolecule	4.2,elongation factor 3	protein_or_peptide	0.115	Saccharomyces cerevisiae_4932,80S-RNC-eEF3-AMP-PNP complex from S. cerevisiae	sample_supramolecule	4.3",P16521,NUCLEOTIDE-BINDING,0.007
Cryo-EM of the Sec61-complex bound to the idle 80S ribosome,6.9,EMD-2510,4cg7,"Canis familiaris Sec61 bound to an idle wheat germ 80S ribosome	sample_supramolecule	,Sec61	protein_or_peptide	0.0699	Canis lupus familiaris_9615,Triticum aestivum 80S ribosome	complex_supramolecule		Triticum aestivum_4565",P38377,PROTEIN TRANSPORT,0.074
Cryo-EM of the Sec61-complex bound to an 80S-RNC engaged with an membrane-inserting LepM chain,7.8,EMD-2512,4cg6,"Sec61-complex	protein_or_peptide	0.0699	Canis lupus familiaris_9615,80S Ribosome	complex_supramolecule		Triticum aestivum_4565,Canis familiaris Sec61 bound to a wheat germ 80S-RNC translating the membrane-inserting LepM-polypeptide	sample_supramolecule	",,PROTEIN TRANSPORT,0.083
Cryo-EM of the Sec61-complex bound to an 80S-RNC engaged with a translocating LepT chain,7.4,EMD-2511,4cg5,"Sec61-complex	protein_or_peptide	0.0699	Canis lupus familiaris_9615,80S Ribosome	complex_supramolecule		Triticum aestivum_4565,Canis familiaris Sec61 bound to a wheat germ 80S-RNC translating the translocating LepT-polypeptide	sample_supramolecule	",,PROTEIN TRANSPORT,0.086
A structural model of the active ribosome-bound membrane protein insertase YidC,8,EMD-2705,4utq,"Monomeric YidC bound to ribosome nascent chain complex(F0c)	sample_supramolecule	,Ribosome nascent chain complex	complex_supramolecule		Escherichia coli_562,YidC	protein_or_peptide		Escherichia coli_562",P25714,PROTEIN TRANSPORT,0.107
Subtomogram average of OST-containing ribosome-translocon complexes from canine rough microsomal membranes,9.1,EMD-4315,6ftg,"60S ribosomal protein L6	protein_or_peptide	0.028529848	Rabbit_9986,Ribosomal protein L26	protein_or_peptide	0.015891787	Rabbit_9986,Ribosomal protein L37a	protein_or_peptide	0.010168153	Rabbit_9986,28S ribosomal RNA	rna	1.1865795	Rabbit_9986,eL19	protein_or_peptide	0.021613033	Rabbit_9986,eL39	protein_or_peptide	0.006295562	Rabbit_9986,Ribosomal protein L10 (Predicted)	protein_or_peptide	0.024511861	Rabbit_9986,uL2	protein_or_peptide	0.026570105	Rabbit_9986,60S acidic ribosomal protein P0	protein_or_peptide	0.021747293	Rabbit_9986,uL22	protein_or_peptide	0.017757627	Rabbit_9986,60S ribosomal protein L5	protein_or_peptide	0.034006312	Rabbit_9986,60S ribosomal protein L29	protein_or_peptide	0.008706283	Rabbit_9986,eL38	protein_or_peptide	0.008107752	Rabbit_9986,Ribosomal protein L15	protein_or_peptide	0.024076088	Rabbit_9986,Ribosomal protein L24	protein_or_peptide	0.007512774	Rabbit_9986,uL14	protein_or_peptide	0.021457391	Rabbit_9986,eL13	protein_or_peptide	0.024216525	Rabbit_9986,Protein transport protein Sec61 subunit alpha isoform 1	protein_or_peptide	0.050758504	Dog_9615,eL20	protein_or_peptide	0.020696363	Rabbit_9986,ZINC ION	ligand	6.5409e-05,60S ribosomal protein L36	protein_or_peptide	0.011888371	Rabbit_9986,5S ribosomal RNA	rna	0.038691914	Rabbit_9986,MAGNESIUM ION	ligand	2.4305e-05,60s ribosomal protein l41	protein_or_peptide	0.003213075	Rabbit_9986,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1\,RPN1	protein_or_peptide	0.014515871	Dog_9615,uL6	protein_or_peptide	0.021627215	Rabbit_9986,Mammalian Oligosaccharyltransferase	complex_supramolecule		Canis lupus familiaris_9615,Ribosomal protein L14	protein_or_peptide	0.016217355	Rabbit_9986,Ribosomal protein L11	protein_or_peptide	0.019270318	Rabbit_9986,Ribosomal protein L4	protein_or_peptide	0.041115508	Rabbit_9986,60S ribosomal protein L27	protein_or_peptide	0.015704635	Rabbit_9986,uL30	protein_or_peptide	0.026662787	Rabbit_9986,eL21	protein_or_peptide	0.018478791	Rabbit_9986,Ribosomal protein L37	protein_or_peptide	0.010090891	Rabbit_9986,OST4	protein_or_peptide	0.003809582	Dog_9615,TMEM258	protein_or_peptide	0.005124308	Dog_9615,80S ribosome from WT canine rough microsomal membranes bound to the endoplasmic reticulum protein translocon	complex_supramolecule	,DAD1	protein_or_peptide	0.008273189	Dog_9615,eL33	protein_or_peptide	0.012449612	Rabbit_9986,Oligosaccharyltransferase complex subunit OSTC	protein_or_peptide	0.013375942	Dog_9615,60S ribosomal subunit	complex_supramolecule		Oryctolagus cuniculus_9986,uL15	protein_or_peptide	0.016489363	Rabbit_9986,Protein transport protein Sec61 subunit gamma	protein_or_peptide	0.007019456	Dog_9615,eL40	protein_or_peptide	0.006199574	Rabbit_9986,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3A	protein_or_peptide	0.080657375	Dog_9615,eL30	protein_or_peptide	0.010496355	Rabbit_9986,Protein transport protein Sec61 subunit beta	protein_or_peptide	0.003265008	Dog_9615,RPN2	protein_or_peptide	0.006826406	Dog_9615,uL14	protein_or_peptide	0.013972425	Rabbit_9986,uL23	protein_or_peptide	0.01385636	Rabbit_9986,eL34	protein_or_peptide	0.012994621	Rabbit_9986,eL29	protein_or_peptide	0.014435403	Rabbit_9986,eL28	protein_or_peptide	0.015652419	Rabbit_9986,uL3	protein_or_peptide	0.045119812	Rabbit_9986,eL32	protein_or_peptide	0.015022021	Rabbit_9986,Ribosomal protein L12	protein_or_peptide	0.017689461	Rabbit_9986,5.8S ribosomal RNA	rna	0.050143648	Rabbit_9986,Sec61 protein conducting channel	complex_supramolecule		Canis lupus familiaris_9615,eL31	protein_or_peptide	0.012635694	Rabbit_9986,[(2~{S}\,3~{R}\,4~{R}\,5~{S}\,6~{R})-3-acetamido-6-(hydroxymethyl)-4\,5-bis(oxidanyl)oxan-2-yl]methyl-[oxidanyl-[(2~{Z}\,6~{Z}\,10~{Z})-3\,7\,11\,15-tetramethylhexadeca-2\,6\,10\,14-tetraenoxy]phosphoryl]oxy-phosphinic acid	ligand	0.000651663,uL13	protein_or_peptide	0.023248924	Rabbit_9986,eL8	protein_or_peptide	0.027480555	Rabbit_9986,OST48	protein_or_peptide	0.002145636	Dog_9615,eL42	protein_or_peptide	0.012198603	Rabbit_9986,eL22	protein_or_peptide	0.011481249	Rabbit_9986","G1STW0,G1TUN8,G1SE28,E2R4X3,G1SCJ6,P86218,U3KPD5,G1TVS8,G1SZ12,G1TL06,G1SF08,G1SMR7,G1SV32,G1TSG1,G1T040,P19949,G1TUB8,G1TTQ5,F1PJP5,G1TYL6,G1TXF6,G1SVW5,G1SE76,P60058,P60467,G1SYU7,G1T0C1,P0CU66,E2RKN8,G1TTY7,G1TKB3,G1U001,P38377,G1SY53,G1SQH0,G1TG04,G1SHG0,G1SGR6,G1SHQ2,A0A087WNH4,G1U7L1,G1SNY0,G1TDL2,G1TT27,G1SWI6,G1T6D1,G1TXG5",PROTEIN TRANSPORT,0.126
Single copies of Sec61 and TRAP associate with a nontranslating mammalian ribosome,8.7,EMD-1528,3dkn,"ribosome channel complex	complex_supramolecule	3.77	Canis lupus familiaris_9615,Mammalian native ribosome-channel complex	sample_supramolecule	3.77",,protein transport/RNA,0.088
Yeast 80S ribosome stalled by a stem-loop containing mRNA in complex with Dom34-Hbs1. The dataset is computationally sorted for presence of P-site tRNA and Dom34-Hbs1.,9.5,EMD-1811,3izq,"Dom34p	protein_or_peptide	0.044	Saccharomyces cerevisiae_4932,Stem-loop stalled yeast 80S ribosome in complex with Dom34-Hbs1 and P-site tRNA.	sample_supramolecule	3.3,Hbs1p	protein_or_peptide	0.068	Saccharomyces cerevisiae_4932,Saccharomyces cerevisiae 80S ribosome	complex_supramolecule	3.2",,"RIBOSOMAL PROTEIN,HYDROLASE",0.083
3D structure of the canine 80S ribosome,8.7,EMD-1480,4v5z,"canine 80S ribosome	sample_supramolecule	3.6,80S ribosome	complex_supramolecule	3.6	Canis lupus familiaris_9615",,RIBOSOMAL PROTEIN/RNA,0.075
"Recognition of Phe-tRNAPhe, Trp-tRNATrp and  : a common molecular mechanism for aminoacyl-tRNA selection revealed by cryo-EM",9,EMD-1565,3eq3,"70S ribosome	complex_supramolecule	2.8	Escherichia coli_562,Trp-tRNA-EFTu-GDP-kir-70S ribosome	sample_supramolecule	2.8",,RIBOSOMAL PROTEIN/RNA,0.088
Ribosome dynamics and tRNA movement as visualized by time-resolved electron cryomicroscopy,9,EMD-1724,4v7a,"Ribosome	complex_supramolecule	2.5	Escherichia coli_562,m022 mRNA	rna		synthetic construct_32630,fMetVal-tRNAVal	rna	0.025	Escherichia coli_562,Substate of E. coli 70S-fMetVal-tRNAVal post-translocation complex at 18 degrees C	sample_supramolecule	2.5",,RIBOSOME,-0.005
tRNA translocation on the 70S ribosome: the post-translocational translocation intermediate TI(POST),7.6,EMD-1799,4v5n,"70S ribosome	complex_supramolecule		Thermus thermophilus HB8_300852,70S-EFG-GDP-FA complex	sample_supramolecule	",,RIBOSOME,-0.001
