emdb_id,title,resolution,fitted_pdbs,xref_UNIPROTKB,xref_ALPHAFOLD
EMD-42474,"Escherichia coli transcription-translation coupled complex class B (TTC-B) containing RfaH in loaded state, NusA, mRNA with a 24 nt long spacer, and fMet-tRNAs in E-site and P-site of the ribosome",5.3,8uqm,"A0A1X3KWX7,A1AGK6,P0A7J3,P0A7Q1,V0YKA9,P02359,V0AEG5,D7XI28,B7MAS6,A0A0E2KXL3,F4NQ61,P0A7Z4,U9Y6H3,A0A829CFT8,A0A0E2L2J1,P0A8V2,D7XH79,P0A8T7,B7MGC4,D7XKZ3,P0A7S3,V0AJX1,P02358,C3TRH7,V0ANK5,A0A037Y8L6,C3SK02,S1EA57,A0A8E0MHL6,P0A7L8,C3SR17,V0YZK9,P0ADY7,C3TPN2,D6IEL0,P60438,S1EW51,A0A0E2L017,E3PKY8,A0A7U9IV78,C3SYP2,A0A829CSJ4,A0A829CFV1,P61175,P0A7V8,U9XV73,P0A7W1,B7MCS9,A0A1X3LT86,P0A7M9,S1NW45,P0A7J7,A0A1X3LHG1,A0A1X3LC97,D8EB41,B7MCR3,A0A1X3JA73,P60422,P0A800","A0A1X3KWX7,A1AGK6,P0A7J3,P0A7Q1,V0YKA9,P02359,V0AEG5,D7XI28,B7MAS6,A0A0E2KXL3,F4NQ61,P0A7Z4,U9Y6H3,A0A829CFT8,A0A0E2L2J1,P0A8V2,D7XH79,P0A8T7,B7MGC4,D7XKZ3,P0A7S3,V0AJX1,P02358,C3TRH7,V0ANK5,A0A037Y8L6,C3SK02,S1EA57,P0A7L8,V0YZK9,C3SR17,P0ADY7,C3TPN2,D6IEL0,P60438,S1EW51,A0A0E2L017,E3PKY8,A0A7U9IV78,C3SYP2,A0A829CSJ4,A0A829CFV1,P61175,P0A7V8,U9XV73,P0A7W1,B7MCS9,A0A1X3LT86,P0A7M9,S1NW45,P0A7J7,A0A1X3LHG1,A0A1X3LC97,D8EB41,B7MCR3,A0A1X3JA73,P60422,P0A800"
EMD-42493,"Escherichia coli transcription-translation coupled complex class B (TTC-B) containing RfaH bound to ops signal, NusA, mRNA with a 27 nt long spacer, and fMet-tRNAs in E-site and P-site of the ribosome",5.3,8uri,"A0A1X3KWX7,A1AGK6,P0A7J3,P0A7Q1,V0YKA9,P02359,V0AEG5,D7XI28,B7MAS6,A0A0E2KXL3,F4NQ61,P0A7Z4,U9Y6H3,A0A829CFT8,A0A0E2L2J1,P0A8V2,D7XH79,P0A8T7,B7MGC4,D7XKZ3,P0A7S3,V0AJX1,P02358,C3TRH7,V0ANK5,A0A037Y8L6,C3SK02,S1EA57,A0A8E0MHL6,P0A7L8,C3SR17,V0YZK9,P0ADY7,C3TPN2,D6IEL0,P60438,S1EW51,A0A0E2L017,E3PKY8,A0A7U9IV78,C3SYP2,A0A829CSJ4,A0A829CFV1,P61175,P0A7V8,U9XV73,P0A7W1,B7MCS9,A0A1X3LT86,P0A7M9,S1NW45,P0A7J7,A0A1X3LHG1,A0A1X3LC97,D8EB41,B7MCR3,A0A1X3JA73,P60422,P0A800","A0A1X3KWX7,A1AGK6,P0A7J3,P0A7Q1,V0YKA9,P02359,V0AEG5,D7XI28,B7MAS6,A0A0E2KXL3,F4NQ61,P0A7Z4,U9Y6H3,A0A829CFT8,A0A0E2L2J1,P0A8V2,D7XH79,P0A8T7,B7MGC4,D7XKZ3,P0A7S3,V0AJX1,P02358,C3TRH7,V0ANK5,A0A037Y8L6,C3SK02,S1EA57,P0A7L8,V0YZK9,C3SR17,P0ADY7,C3TPN2,D6IEL0,P60438,S1EW51,A0A0E2L017,E3PKY8,A0A7U9IV78,C3SYP2,A0A829CSJ4,A0A829CFV1,P61175,P0A7V8,U9XV73,P0A7W1,B7MCS9,A0A1X3LT86,P0A7M9,S1NW45,P0A7J7,A0A1X3LHG1,A0A1X3LC97,D8EB41,B7MCR3,A0A1X3JA73,P60422,P0A800"
EMD-42453,"Escherichia coli transcription-translation coupled complex class A (TTC-A) containing RfaH bound to ops signal, mRNA with a 21 nt long spacer, and fMet-tRNAs in E-site and P-site of the ribosome",5.5,8upo,"A0A1X3KWX7,A1AGK6,P0A7J3,P0A7Q1,V0YKA9,P02359,V0AEG5,D7XI28,B7MAS6,A0A0E2KXL3,F4NQ61,P0A7Z4,U9Y6H3,A0A829CFT8,A0A0E2L2J1,P0A8V2,D7XH79,P0A8T7,B7MGC4,D7XKZ3,P0A7S3,V0AJX1,P02358,C3TRH7,V0ANK5,A0A037Y8L6,C3SK02,S1EA57,A0A8E0MHL6,P0A7L8,C3SR17,V0YZK9,P0ADY7,C3TPN2,D6IEL0,P60438,S1EW51,A0A0E2L017,E3PKY8,A0A7U9IV78,C3SYP2,A0A829CSJ4,A0A829CFV1,P61175,P0A7V8,P0A7W1,B7MCS9,A0A1X3LT86,P0A7M9,S1NW45,P0A7J7,A0A1X3LHG1,A0A1X3LC97,D8EB41,B7MCR3,A0A1X3JA73,P60422","A0A1X3KWX7,A1AGK6,P0A7J3,P0A7Q1,V0YKA9,P02359,V0AEG5,D7XI28,B7MAS6,A0A0E2KXL3,F4NQ61,P0A7Z4,U9Y6H3,A0A829CFT8,A0A0E2L2J1,P0A8V2,D7XH79,P0A8T7,B7MGC4,D7XKZ3,P0A7S3,V0AJX1,P02358,C3TRH7,V0ANK5,A0A037Y8L6,C3SK02,S1EA57,P0A7L8,V0YZK9,C3SR17,P0ADY7,C3TPN2,D6IEL0,P60438,S1EW51,A0A0E2L017,E3PKY8,A0A7U9IV78,C3SYP2,A0A829CSJ4,A0A829CFV1,P61175,P0A7V8,P0A7W1,B7MCS9,A0A1X3LT86,P0A7M9,S1NW45,P0A7J7,A0A1X3LHG1,A0A1X3LC97,D8EB41,B7MCR3,A0A1X3JA73,P60422"
EMD-43844,Structure of Circularly Permuted 50S Ribosomal Subunit Assembly Intermediate - CP45 Class B,6.3,,,
EMD-43852,Structure of Circularly Permuted 50S Ribosomal Subunit Assembly Intermediate - CP63 Class E1,5.7,,,
EMD-43850,Structure of Circularly Permuted 50S Ribosomal Subunit Assembly Intermediate - CP63 Class C,5.2,,,
EMD-43845,Structure of Circularly Permuted 50S Ribosomal Subunit Assembly Intermediate - CP45 Class C1,6.4,,,
EMD-43854,Structure of Circularly Permuted 50S Ribosomal Subunit Assembly Intermediate - CP63 Class B,7.0,,,
EMD-43853,Structure of Circularly Permuted 50S Ribosomal Subunit Assembly Intermediate - CP63 Class D,6.7,,,
EMD-43865,Structure of Circularly Permuted 50S Ribosomal Subunit Assembly Intermediate - CP78 Class C1,8.0,,,
EMD-43863,Structure of Circularly Permuted 50S Ribosomal Subunit Assembly Intermediate - CP63(+PS) Class D2,8.7,,,
EMD-43859,Structure of Circularly Permuted 50S Ribosomal Subunit Assembly Intermediate - CP63(+PS) Class C3,6.9,,,
EMD-43860,Structure of Circularly Permuted 50S Ribosomal Subunit Assembly Intermediate - CP63(+PS) Class D1,8.6,,,
EMD-43861,Structure of Circularly Permuted 50S Ribosomal Subunit Assembly Intermediate - CP63(+PS) Class C1,8.1,,,
EMD-43849,Structure of Circularly Permuted 50S Ribosomal Subunit Assembly Intermediate - CP45 Class E1,6.7,,,
EMD-43857,Structure of Circularly Permuted 50S Ribosomal Subunit Assembly Intermediate - CP63(+PS) Class C2,5.8,,,
EMD-43862,Structure of Circularly Permuted 50S Ribosomal Subunit Assembly Intermediate - CP63(+PS) Class C4,7.3,,,
EMD-43866,Structure of Circularly Permuted 50S Ribosomal Subunit Assembly Intermediate - CP78 Class C2,8.0,,,
EMD-43848,Structure of Circularly Permuted 50S Ribosomal Subunit Assembly Intermediate - CP45 Class G,6.8,,,
EMD-43864,Structure of Circularly Permuted 50S Ribosomal Subunit Assembly Intermediate - CP78 Class B,8.7,,,
EMD-43867,Structure of Circularly Permuted 50S Ribosomal Subunit Assembly Intermediate - CP78 Class C3,5.6,,,
EMD-43858,Structure of Circularly Permuted 50S Ribosomal Subunit Assembly Intermediate - CP63(+PS) Class B,7.1,,,
EMD-43856,Structure of Circularly Permuted 50S Ribosomal Subunit Assembly Intermediate - CP63(+PS) Class E,5.3,,,
EMD-19059,Escherichia coli paused disome complex (Rotated disome interface class 2),5.32,8rct,"P68679,P0A7X3,P0A7N9,P0A7L0,P0AG59,P0A7T3,P0A7Q1,P02359,P0AG63,P0A7R9,P0A7M2,P0A7T7,P0A7V3,P0AG67,P0A7U7,P0A7S3,P62399,P02413,P0A7W7,P0A7R5,P02358,P0A7L8,P0A7P5,P0ADY7,P0C018,P0A7V8,P0AG51,P0A7W1,P0A7M9,P0A7R1,P0A7V0,P0ADZ4,P0A7U3,P0A7S9,P60422","P68679,P0A7X3,P0A7N9,P0A7L0,P0AG59,P0A7T3,P0A7Q1,P02359,P0AG63,P0A7R9,P0A7M2,P0A7T7,P0A7V3,P0AG67,P0A7U7,P0A7S3,P62399,P02413,P0A7W7,P0A7R5,P02358,P0A7L8,P0A7P5,P0ADY7,P0C018,P0A7V8,P0AG51,P0A7W1,P0A7M9,P0A7R1,P0A7V0,P0ADZ4,P0A7U3,P0A7S9,P60422"
EMD-17279,Escherichia coli paused disome complex (open non-rotated PRE | closed non-rotated PRE),8.41,,,
EMD-17281,Escherichia coli paused disome complex (open non-rotated PRE | rotated PRE),7.54,,,
EMD-17275,Escherichia coli paused disome complex (decoding | closed non-rot. PRE),8.18,,,
EMD-17277,Escherichia coli paused disome complex (partially accommodated A-tRNA | closed non-rotated PRE),7.9,,,
EMD-17278,Escherichia coli paused disome complex (partially accommodated A-tRNA | rotated PRE),8.93,,,
EMD-17274,Escherichia coli paused disome complex (decoding | rotated PRE),9.06,,,
EMD-17431,Escherichia coli paused disome complex (rotated-PRE-2 | rotated PRE),7.58,,,
EMD-17432,Escherichia coli paused disome complex (rotated-PRE-2 | POST),7.6,,,
EMD-17433,Escherichia coli paused disome complex (POST | closed non-rotated PRE),6.5,,,
EMD-17434,Escherichia coli paused disome complex (POST | rotated PRE),6.5,,,
EMD-17276,Escherichia coli paused disome complex (decoding | POST),9.11,,,
EMD-17442,Escherichia coli paused disome complex (termination | closed non-rotated PRE),6.71,,,
EMD-17443,Escherichia coli paused disome complex (termination | rotated PRE),7.03,,,
EMD-17444,Escherichia coli paused disome complex (termination | POST),6.66,,,
EMD-17441,Escherichia coli paused disome complex (POST | POST),6.5,,,
EMD-17291,Escherichia coli paused disome complex (rotated-PRE-2 | closed non-rotated PRE),7.89,,,
EMD-17280,Escherichia coli paused disome complex (open non-rotated PRE | closed non-rotated PRE),6.95,,,
EMD-17286,Escherichia coli paused disome complex (rotated-PRE-1 | closed non-rotated PRE),8.19,,,
EMD-17288,Escherichia coli paused disome complex (rotated-PRE-1 | rotated PRE),8.62,,,
EMD-17289,Cryo-EM reconstruction of the E. coli disome complex (rotated-PRE-1 | POST),8.9,,,
EMD-17282,Escherichia coli paused disome complex (open non-rotated PRE | POST),7.07,,,
EMD-17284,Escherichia coli paused disome complex (closed non-rotated PRE | rotated PRE),6.5,,,
EMD-17285,Escherichia coli paused disome complex (closed non-rotated PRE | POST),6.5,,,
EMD-19101,Escherichia coli paused trisome complex (non-rotated),7.6,,,
EMD-19102,Escherichia coli paused trisome complex (rotated),7.8,,,
EMD-19221,in situ subtomogram average of low dose anisomycin treated MEF cell ribosome in the OFF-P state,9.0,,,
EMD-19218,in situ subtomogram average of MEF cell ribosome in the rotated 2 + state,9.8,,,
EMD-19228,in situ subtomogram average of high dose anisomycin treated MEF cell ribosome in PRE+ Z state,9.1,,,
EMD-19211,in situ subtomogram average of MEF cell ribosomes in the decoding E state,8.8,,,
EMD-16560,Structure of the yeast delta mtg1 mitochondrial ribosome assembly intermediate - State 2,6.0,,,
EMD-18586,Cryo-EM reconstruction of crosslinked native Bacillus subtilis collided disome binding MutS2 SMR and KOW domains,6.8,,,
EMD-17241,C. elegans L1 80S ribosome,6.9,,,
EMD-17245,C. elegans L1 larva 80S ribosome class 4,8.4,,,
EMD-15215,Asymmetric reconstruction of averaged ribosomes from Saccharomyces cerevisiae,8.1,,,
EMD-41222,"Cryo-electron tomography reconstruction of M. pneumoniae 70S ribosome in the classical non-rotated state with half-closed L1 stalk, obtained from EMPIAR-10499 dataset by constrained classification",9.5,,,
EMD-41221,"Cryo-electron tomography reconstruction of M. pneumoniae 70S ribosome in classical non-rotated state with L1 open, obtained from EMPIAR-10499 dataset by constrained classification",9.3,,,
EMD-41220,Cryo-electron tomography reconstruction of M. pneumoniae 70S ribosome in decoding state with EF-Tu-tRNA and P-site tRNA from EMPIAR-10499 dataset by constrained classification.,8.7,,,
EMD-34870,Cryo-EM Structures and Translocation Mechanism of Crenarchaeota Ribosome,5.72,8hl5,"Q4J953,P39473,P38618,F2Z6C4,Q4JB49,P39467,Q4JB46,Q4JB40,Q4JAZ9,P35024,Q4JAJ9,Q4JB43,P17199,Q4JB20,P11522,O05642,Q4J8P1,P39478,O05633,Q4J9B1,Q4JB44,Q4J8U1,O05637,O05981,O05643,Q4JB42,Q4J9B2,O05641,P13005,Q4JAV2,P39470,Q4JAI3,O05640,Q4JB11,O05635,O05636,P39469,Q4JB17,Q4JAI1,Q4JAF9,O05639,Q4JB47,Q4JB29,Q4J9G6,Q4JB41,Q4JB45,P11524,Q4JAP0,P38613,P41202,O05634,O05638,Q4JAX5,Q4JC84,P39474,Q4JAP5,P39468,Q4JB50,Q4JAV1,Q4JAG0,P17198","Q4J953,P39473,P38618,F2Z6C4,Q4JB49,P39467,Q4JB46,Q4JB40,Q4JAZ9,P35024,Q4JAJ9,Q4JB43,P17199,Q4JB20,P11522,O05642,Q4J8P1,P39478,O05633,Q4J9B1,Q4JB44,Q4J8U1,O05637,O05981,O05643,Q4JB42,Q4J9B2,O05641,P13005,Q4JAV2,P39470,Q4JAI3,O05640,Q4JB11,O05635,O05636,P39469,Q4JB17,Q4JAI1,Q4JAF9,O05639,Q4JB47,Q4JB29,Q4J9G6,Q4JB41,Q4JB45,P11524,Q4JAP0,P38613,P41202,O05634,O05638,Q4JAX5,Q4JC84,P39474,Q4JAP5,P39468,Q4JB50,Q4JAV1,Q4JAG0,P17198"
EMD-40549,"E. coli 50S intermediate, deaD deletion strain, class: dead-preB2",7.36,,,
EMD-40548,"E. coli 50S intermediate, deaD deletion strain, class: dead-G1",6.74,,,
EMD-40546,"E. coli 50S intermediate, deaD deletion strain, class: dead-E-a1",5.43,,,
EMD-40550,"E. coli 50S intermediate, deaD deletion strain, class: dead-G2",5.89,,,
EMD-40551,"E. coli 50S intermediate, deaD deletion strain, class: dead-preB1",6.39,,,
EMD-40555,"E. coli 50S intermediate, deaD deletion strain, class: dead-G4",5.74,,,
EMD-40552,"E. coli 50S intermediate, deaD deletion strain, class: dead-G3",5.41,,,
EMD-40547,"E. coli 50S intermediate, bL17-depletion strain, class: rl17-E-b9",5.45,,,
EMD-40538,"E. coli 50S intermediate, deaD deletion strain, class: dead-C-a4",5.41,,,
EMD-40537,"E. coli 50S intermediate, bL17-depletion strain, class: rl17-E-b4",5.45,,,
EMD-40540,"E. coli 50S intermediate, deaD deletion strain, class: dead-C-a5",6.27,,,
EMD-40544,"E. coli 50S intermediate, deaD deletion strain, class: dead-C-b2",5.41,,,
EMD-40542,"E. coli 50S intermediate, deaD deletion strain, class: dead-C-b1",5.41,,,
EMD-40539,"E. coli 50S intermediate, bL17-depletion strain, class: rl17-E-b5",5.45,,,
EMD-40543,"E. coli 50S intermediate, bL17-depletion strain, class: rl17-E-b7",5.45,,,
EMD-40541,"E. coli 50S intermediate, bL17-depletion strain, class: rl17-E-b6",5.45,,,
EMD-40545,"E. coli 50S intermediate, bL17-depletion strain, class: rl17-E-b8",5.45,,,
EMD-40319,"E. coli 50S intermediate, bL17-depletion strain, class: rl17-C-b4",5.54,,,
EMD-40316,"E. coli 50S intermediate, srmB deletion strain, class: srmb-B-a1",9.27,,,
EMD-40318,"E. coli 50S intermediate, srmB deletion strain, class: srmb-B-a2",8.29,,,
EMD-40322,"E. coli 50S intermediate, srmB deletion strain, class: srmb-C-a2",8.08,,,
EMD-40317,"E. coli 50S intermediate, bL17-depletion strain, class: rl17-C-b3",5.45,,,
EMD-40320,"E. coli 50S intermediate, srmB deletion strain, class: srmb-C-a1",7.75,,,
EMD-40321,"E. coli 50S intermediate, bL17-depletion strain, class: rl17-C-b5",5.45,,,
EMD-40315,"E. coli 50S intermediate, bL17-depletion strain, class: rl17-C-b2",5.45,,,
EMD-40323,"E. coli 50S intermediate, bL17-depletion strain, class: rl17-C-b6",6.81,,,
EMD-40517,"E. coli 50S intermediate, srmB deletion strain, class: dead-B-a1",5.91,,,
EMD-40515,"E. coli 50S intermediate, srmB deletion strain, class: srmb-G1",6.84,,,
EMD-40513,"E. coli 50S intermediate, srmB deletion strain, class: srmb-E-a3",6.99,,,
EMD-40511,"E. coli 50S intermediate, bL17-depletion strain, class: rl17-B-b4",5.45,,,
EMD-40516,"E. coli 50S intermediate, bL17-depletion strain, class: rl17-D-b4",5.45,,,
EMD-40512,"E. coli 50S intermediate, bL17-depletion strain, class: rl17-D-b2",5.45,,,
EMD-40514,"E. coli 50S intermediate, bL17-depletion strain, class: rl17-D-b3",5.45,,,
EMD-40536,"E. coli 50S intermediate, deaD deletion strain, class: dead-C-a3",6.16,,,
EMD-40534,"E. coli 50S intermediate, deaD deletion strain, class: dead-C-a2",5.96,,,
EMD-40535,"E. coli 50S intermediate, bL17-depletion strain, class: rl17-E-b3",5.45,,,
EMD-40528,"E. coli 50S intermediate, deaD deletion strain, class: dead-B-a6",5.99,,,
EMD-40324,"E. coli 50S intermediate, srmB deletion strain, class: srmb-C-a3",6.81,,,
EMD-40328,"E. coli 50S intermediate, srmB deletion strain, class: srmb-C-a5",7.89,,,
EMD-40332,"E. coli 50S intermediate, srmB deletion strain, class: srmb-E-a2",7.77,,,
EMD-40325,"E. coli 50S intermediate, srmB deletion strain, class: srmb-C-a4",8.46,,,
EMD-40330,"E. coli 50S intermediate, srmB deletion strain, class: srmb-E-a1",7.56,,,
EMD-40331,"E. coli 50S intermediate, bL17-depletion strain, class: rl17-D-a3",5.45,,,
EMD-40327,"E. coli 50S intermediate, bL17-depletion strain, class: rl17-D-a1",5.45,,,
EMD-40333,"E. coli 50S intermediate, bL17-depletion strain, class: rl17-D-b1",5.45,,,
EMD-40329,"E. coli 50S intermediate, bL17-depletion strain, class: rl17-D-a2",5.45,,,
EMD-40521,"E. coli 50S intermediate, srmB deletion strain, class: dead-B-a3",5.62,,,
EMD-40519,"E. coli 50S intermediate, srmB deletion strain, class: dead-B-a2",5.41,,,
EMD-40518,"E. coli 50S intermediate, bL17-depletion strain, class: rl17-E-a1",5.45,,,
EMD-40526,"E. coli 50S intermediate, deaD deletion strain, class: dead-B-a5",6.24,,,
EMD-40524,"E. coli 50S intermediate, deaD deletion strain, class: dead-B-a4",5.41,,,
EMD-40523,"E. coli 50S intermediate, bL17-depletion strain, class: rl17-E-a3",5.45,,,
EMD-40525,"E. coli 50S intermediate, bL17-depletion strain, class: rl17-E-a4",5.45,,,
EMD-40527,"E. coli 50S intermediate, bL17-depletion strain, class: rl17-E-a5",5.45,,,
EMD-16727,"Human 80S ribosome at the 'eEF2, ap/P, pe/E' state in untreated cells",9.6,,,
EMD-16728,"Human 80S ribosome at the 'eEF1A, A/T, P, E' state in untreated cells",9.4,,,
EMD-16726,"Human 80S ribosome at the 'A/T, P' state in untreated cells",8.3,,,
EMD-16749,"Human 80S ribosome at the 'eEF1A, A/T, P, Z' state in HHT-treated cells",8.2,,,
EMD-16748,Human 80S ribosome at the 'P' state in HHT-treated cells,8.5,,,
EMD-16740,Human 80S ribosome with ES27L at conformation 3 in untreated cells,6.9,,,
EMD-16738,Human 80S ribosome with ES27L at conformation 1 in untreated cells,6.6,,,
EMD-16735,"Human 80S ribosome at the 'A, P' state in untreated cells",5.0,,,
EMD-40520,"E. coli 50S intermediate, bL17-depletion strain, class: rl17-E-a2",5.45,,,
EMD-40311,"E. coli 50S intermediate, bL17-depletion strain, class: rl17-B-b2",6.0,,,
EMD-40309,"E. coli 50S assembly intermediate from bL17-depletion strain, class: rl17-B-b1",5.45,,,
EMD-40312,"E. coli 50S intermediate, bL17-depletion strain, class: rl17-B-b3",5.45,,,
EMD-40313,"E. coli 50S intermediate, bL17-depletion strain, class: rl17-B-b3",5.45,,,
EMD-40314,"E. coli 50S intermediate, bL17-depletion strain, class: rl17-C-b1",5.45,,,
EMD-40532,"E. coli 50S intermediate, deaD deletion strain, class: dead-C-a1",6.14,,,
EMD-40530,"E. coli 50S intermediate, deaD deletion strain, class: dead-B-b1",6.43,,,
EMD-40533,"E. coli 50S intermediate, bL17-depletion strain, class: rl17-E-b2",5.68,,,
EMD-40531,"E. coli 50S intermediate, bL17-depletion strain, class: rl17-E-b10",5.45,,,
EMD-40529,"E. coli 50S intermediate, bL17-depletion strain, class: rl17-E-b1",5.45,,,
EMD-35767,Structure of the Mex67-Mtr2-3 heterodimer,5.88,,Q99257,Q99257
EMD-26563,Stx2a and DARPin complex,6.5,7ujj,"P09385,P09386",
