emdb_id,title,resolution,fitted_pdbs,xref_UNIPROTKB,xref_ALPHAFOLD,Q-score,atom_inclusion,recommended_contour_level
EMD-18145,Structure of arbekacin bound Escherichia coli 70S ribosome,3.1,8q4f,"P02358,P0A7M9,P0A7W1,P02359,P0AG55,P0AG51,P02413,P0AG59,P0A7P5,P0A7L8,P0A7S3,P0A7T3,P0AG44,P0A7T7,P0A7N9,P0A7X3,P0AG63,P0A7K6,P0ADZ4,P0A7R5,P0C018,P0A7W7,P0AA10,P0A7N4,P0A7Q6,P60422,P0A7V8,P0A7V3,P0ADY7,P0A7U3,P0AG48,P60438,P0A7L3,P68919,P0A7M2,P0A7M6,P60723,P0A7U7,P0A7Q1,P0A7S9,P0A7R9,P68679,P0ADZ0,P0ADY3,P62399,P60624,P0A7V0","P02358,P0A7M9,P0A7W1,P02359,P0AG55,P0AG51,P02413,P0AG59,P0A7P5,P0A7L8,P0A7S3,P0A7T3,P0AG44,P0A7T7,P0A7N9,P0A7X3,P0AG63,P0A7K6,P0ADZ4,P0A7R5,P0C018,P0A7W7,P0AA10,P0A7N4,P0A7Q6,P60422,P0A7V8,P0A7V3,P0ADY7,P0A7U3,P0AG48,P60438,P0A7L3,P68919,P0A7M2,P0A7M6,P60723,P0A7U7,P0A7Q1,P0A7S9,P0A7R9,P68679,P0ADZ0,P0ADY3,P62399,P60624,P0A7V0",,,0.02
EMD-17697,Structure of human 48S translation initiation complex in AUG recognition state after eIF5-induced GTP hydrolysis by eIF2 (48S-2),3.4,8pj2,"Q14152,P62241,P62851,O00303,P62753,P62273,P62847,P39019,P60228,P61247,P62263,O15371,Q9Y262,P62244,P63220,P08708,P62266,Q99613,P08865,Q7L2H7,P62854,P62701,Q13347,P05198,P63244,P62081,P62280,P23396,P46783,O15372,P47813,Q9UBQ5,P55884,O75821,P62945,P62861,P25398,P46782,P15880,P62841,P62857,P42677,P62277,P62249,P62269,P62979,P60866,P41091,P55010,P46781","Q14152,P62241,P62851,O00303,P62753,P62273,P62847,P39019,P60228,P61247,P62263,O15371,Q9Y262,P62244,P63220,P08708,P62266,Q99613,P08865,Q7L2H7,P62854,P62701,Q13347,P05198,P63244,P62081,P62280,P23396,P46783,O15372,P47813,Q9UBQ5,P55884,O75821,P62945,P62861,P25398,P46782,P15880,P62841,P62857,P42677,P62277,P62249,P62269,P62979,P60866,P41091,P55010,P46781",,,3
EMD-19128,Structure of human eIF3 core from closed 48S translation initiation complex,3.4,8rg0,"Q14152,Q9Y262,P62857,O15372,P42677,P62277,P08708,Q99613,O00303,Q9UBQ5,O15371,P08865,Q7L2H7,P62854,P60228,P61247,P62263","Q14152,Q9Y262,P62857,O15372,P42677,P62277,P08708,Q99613,O00303,Q9UBQ5,O15371,P08865,Q7L2H7,P62854,P60228,P61247,P62263",,,4
EMD-17698,Structure of human 48S translation initiation complex upon transfer of initiator tRNA to eIF5B (48S-3),3.7,8pj3,"Q14152,P62241,P62851,O00303,P62753,P62273,P62847,P39019,P60228,P61247,P62263,O15371,Q9Y262,P62244,P63220,P08708,P62266,Q99613,P08865,Q7L2H7,P62854,P62701,Q13347,P05198,P63244,P62081,P62280,P23396,O60841,O15372,P46783,P47813,Q9UBQ5,P55884,O75821,P62945,P62861,P25398,P46782,P15880,P62841,P62857,P42677,P62277,P62249,P62269,P62979,P60866,P41091,P55010,P46781","Q14152,P62241,P62851,O00303,P62753,P62273,P62847,P39019,P60228,P61247,P62263,O15371,Q9Y262,P62244,P63220,P08708,P62266,Q99613,P08865,Q7L2H7,P62854,P62701,Q13347,P05198,P63244,P62081,P62280,P23396,O60841,O15372,P46783,P47813,Q9UBQ5,P55884,O75821,P62945,P62861,P25398,P46782,P15880,P62841,P62857,P42677,P62277,P62249,P62269,P62979,P60866,P41091,P55010,P46781",,,3
EMD-17699,Structure of human 48S translation initiation complex after eIF5 release (48S-4),3.2,8pj4,"Q14152,P62241,P62851,O00303,P62753,P62273,P62847,P39019,P60228,P61247,P62263,O15371,Q9Y262,P62244,P63220,P08708,P62266,Q99613,P08865,Q7L2H7,P62854,P62701,Q13347,P05198,P63244,P62081,P62280,P23396,O60841,O15372,P46783,P47813,Q9UBQ5,P55884,O75821,P62945,P62861,P25398,P46782,P15880,P62841,P62857,P42677,P62277,P62249,P62269,P62979,P60866,P41091,P46781","Q14152,P62241,P62851,O00303,P62753,P62273,P62847,P39019,P60228,P61247,P62263,O15371,Q9Y262,P62244,P63220,P08708,P62266,Q99613,P08865,Q7L2H7,P62854,P62701,Q13347,P05198,P63244,P62081,P62280,P23396,O60841,O15372,P46783,P47813,Q9UBQ5,P55884,O75821,P62945,P62861,P25398,P46782,P15880,P62841,P62857,P42677,P62277,P62249,P62269,P62979,P60866,P41091,P46781",,,3
EMD-17696,Structure of human 48S translation initiation complex in open codon scanning state (48S-1),3.4,8pj1,"Q14152,P62241,P62851,P20042,P41567,O00303,P62753,P62273,P62847,P39019,P60228,P61247,P62263,O15371,Q9Y262,P62244,P63220,P08708,P62266,Q99613,P08865,Q7L2H7,P62854,P62701,Q13347,P05198,P63244,P62081,P62280,P23396,P46783,O15372,P47813,Q9UBQ5,P55884,O75821,P62945,P62861,P25398,P46782,P15880,P62841,P62857,P42677,P62277,P62249,P62269,P62979,P60866,P41091,P46781","Q14152,P62241,P62851,P20042,P41567,O00303,P62753,P62273,P62847,P39019,P60228,P61247,P62263,O15371,Q9Y262,P62244,P63220,P08708,P62266,Q99613,P08865,Q7L2H7,P62854,P62701,Q13347,P05198,P63244,P62081,P62280,P23396,P46783,O15372,P47813,Q9UBQ5,P55884,O75821,P62945,P62861,P25398,P46782,P15880,P62841,P62857,P42677,P62277,P62249,P62269,P62979,P60866,P41091,P46781",,,4
EMD-37007,Mycobacterium smegmatis 50S ribosomal subunit-HflX complex,3.3,8kab,"A0QSD8,A0QS39,A0R3I9,A0QSP8,A0R7F6,A0QVY1,A0QSG1,A0QS62,A0R7K0,A0QSD3,A0R215,A0R151,A0QV03,A0QSD6,A0QSG7,A0R150,A0QSD2,A0QYU6,A0QSG0,A0QTP4,A0QSL9,A0QV42,A0QSD4,A0QSD9,A0QSL4,A0QSF9,A0QSG8,A0QYU7,A0QSG4,A0QS45,A0R3D2,A0QSG5,A0QSD1","A0QSD8,A0QS39,A0R3I9,A0QSP8,A0R7F6,A0QVY1,A0QSG1,A0QS62,A0R7K0,A0QSD3,A0R215,A0R151,A0QV03,A0QSD6,A0QSG7,A0R150,A0QSD2,A0QYU6,A0QSG0,A0QTP4,A0QSL9,A0QV42,A0QSD4,A0QSD9,A0QSL4,A0QSF9,A0QSG8,A0QYU7,A0QSG4,A0QS45,A0R3D2,A0QSG5,A0QSD1",0.419,0.99,0.005
EMD-38788,Mycobacterium smegmatis 50S ribosomal subunit with Erythromycin,3.6,8xz3,"A0QSD8,I7GFB2,A0R3I9,A0QSP8,A0R7F6,A0QSG1,A0QS62,A0R7K0,A0QSD3,A0R215,A0R151,A0QSD6,A0QSG7,A0R150,I7FJ52,A0QSD2,A0QYU6,A0QSG0,A0QTP4,A0QSL9,I7FGD9,A0QV42,A0QSD4,A0QSD9,A0QSL4,A0QSF9,A0QYU7,A0QSG4,A0QS45,A0QS39,I7G436,A0QSD1","A0QSD8,I7GFB2,A0R3I9,A0QSP8,A0R7F6,A0QSG1,A0QS62,A0R7K0,A0QSD3,A0R215,A0R151,A0QSD6,A0QSG7,A0R150,I7FJ52,A0QSD2,A0QYU6,A0QSG0,A0QTP4,A0QSL9,I7FGD9,A0QV42,A0QSD4,A0QSD9,A0QSL4,A0QSF9,A0QYU7,A0QSG4,A0QS45,A0QS39,I7G436,A0QSD1",0.473,0.88,3.6
EMD-15127,Structure of mammalian Pol II-DSIF-SPT6-PAF1-TFIIS-hexasome elongation complex,3.3,8a3y,"A0A8J1LZU9,Q7KZ85,A0A8D1KNW4,A0A7M4DUC2,Q8WVC0,Q4R941,F1RKE4,A0A4X1VKG7,Q6P1J9,Q9GZS3,Q92541,A0A287ADR4,Q8N7H5,I3LCH3,A0A8D0JYF1,P62799,I3LSI7,I3LCB2,O00267,P84233,Q6AZJ8,I3LGP4,P60899,A0A4X1VYD0","Q7KZ85,Q8WVC0,Q4R941,F1RKE4,A0A4X1VKG7,Q6P1J9,Q9GZS3,Q92541,A0A287ADR4,Q8N7H5,I3LCH3,P62799,I3LSI7,I3LCB2,O00267,P84233,Q6AZJ8,I3LGP4,P60899,A0A4X1VYD0",0.231,0.855,0.004
EMD-44464,80S ribosome bound with angiogenin and complex of eEF1A and Ala-tRNAAla,3.7,9bdp,"G1T6D1,U3KPD5,G1SWI6,G1SIZ2,G1SE76,G1TKB3,G1SPK4,G1SY53,G1SKF7,G1TM55,G1SNY0,G1TT27,G1TNM3,G1T0C1,G1TSG1,G1TTQ5,G1TFM5,G1TA47,G1TXF6,G1TUB8,G1TDL2,G1U7L1,G1SP51,P19949,G1SGX4,G1T1F0,G1SHG0,G1SGR6,G1SJB4,G1TYL6,G1SV32,G1TM82,G1U7M4,P02994,A0A087WNH4,G1SMR7,G1U0Q2,G1SCJ6,A0A5F9DCT1,G1TUN8,G1U001,G1TL06,G1TU13,G1TJH8,G1TPV3,G1SF08,G1TN62,G1TFE8,G1TIB4,G1SFR8,B7NZQ2,G1SIT5,G1SQH0,G1TTY7,G1T3D8,O18789,G1TJW1,G1TTN1,P0DXC2,G1TPG3,G1TRM4,G1STW0,B7NZS8,G1TFE0,G1SS70,G1TZ76,G1SZ47,G1SVB0,G1SZ12,G1TG89,G1SE28,G1T8A2,G1SHQ2,A0A5F9D391,P03950,G1TXG5,G1TVS8","O18789,G1TJW1,G1TTN1,G1TDL2,G1U7L1,G1TL06,G1T6D1,P19949,G1STW0,G1TRM4,G1SP51,G1TU13,G1TPG3,G1T3D8,G1U001,U3KPD5,B7NZS8,G1SWI6,G1SGX4,G1TFE0,G1TJH8,G1T1F0,G1SHG0,G1SGR6,G1TPV3,G1SJB4,G1SS70,G1SIZ2,G1SE76,G1SF08,G1TZ76,G1TN62,G1TKB3,G1SZ47,G1SPK4,G1SY53,G1TYL6,G1SKF7,G1SV32,G1SVB0,G1TFE8,G1TM55,G1TXG5,G1SZ12,G1TM82,G1TG89,G1TIB4,G1U7M4,P02994,A0A087WNH4,G1SE28,G1SNY0,G1TT27,G1SMR7,G1TNM3,G1T0C1,G1SFR8,G1U0Q2,G1T8A2,B7NZQ2,G1SCJ6,G1SHQ2,G1SIT5,G1TSG1,G1TTQ5,G1TFM5,A0A5F9DCT1,G1SQH0,G1TUN8,A0A5F9D391,P03950,G1TA47,G1TTY7,G1TXF6,G1TUB8,G1TVS8",0.371,0.707,4
EMD-38876,cryo-EM structure of Staphylococcus aureus(ATCC 29213) 70S ribosome in complex with MCX-190.,3.6,8y39,"P60433,P66564,P60450,Q7A079,P66580,Q7A0R9,P66254,P0A0G1,Q7A080,Q8NVB4,P66277,Q7A083,P0A0F7,P66174,P61060,A0A133PYC3,A0A133PZQ5,Q7A0Q2,P66154,P66441,P66389,P66596,P66631,P66211,P66335,P66358,Q7A087,Q7A081,P66109,Q8NX05,P66554,P66647,Q7A1S4,P66413,P66134,P66197,Q7A078,P60736,Q7A116,P66469,A0A2X2M020,P66617,Q7A084,Q7A089,P66232,Q7A085,P66300","P60433,P66564,P60450,Q7A079,P66580,Q7A0R9,P66254,P0A0G1,Q7A080,Q8NVB4,P66277,Q7A083,P0A0F7,P66174,P61060,A0A133PYC3,A0A133PZQ5,Q7A0Q2,P66154,P66441,P66389,P66596,P66631,P66211,P66335,P66358,Q7A087,Q7A081,P66109,Q8NX05,P66554,P66647,Q7A1S4,P66413,P66134,P66197,Q7A078,P60736,Q7A116,P66469,A0A2X2M020,P66617,Q7A084,Q7A089,P66232,Q7A085,P66300",0.353,0.789,0.0023
