title,resolution,emdb_id,fitted_pdbs,xref_UNIPROTKB,xref_ALPHAFOLD
Non-rotated 80S S. cerevisiae ribosome with ligands,2.28,EMD-16648,8cgn,"A0A6A5PUG0,P87262,P05756,A0A6A5PVE9,P0CX31,P0CX47,A0A6A5PV92,P05744,P0CH08,P0C2H8,P05317,A0A6A5Q3Q1,P14126,P07280,P02406,P0CX40,P32905,Q01855,P0CX51,P14120,P0CX35,Q12690,P38011,P0C0V8,P49166,P0C0W1,P10664,Q3E7X9,P05749,P36105,Q3E792,P41805,P0CX37,P05737,P26321,P0CX53,P26784,P06367,P0CX82,P0CX45,P49167,A0A8H4FCT7,P26786,Q08745,P02407,P05748,P33442,P04449,P0CX33,Q02753,P0CX49,P05747,P05745,P0CX41,P0C2H6,P17076,P0CX55,P0CX25,P35997,P0CX23,A0A8H8UMB4,P0C0W9,P25443,P26783,P04456,P0CX29,P0CX27,A0A6A5PU37,P04650,P05743,O13516,P38061,Q02326,P0CX84","A0A6A5PUG0,P87262,P05756,A0A6A5PVE9,P0CX31,P0CX47,A0A6A5PV92,P05744,P0CH08,P0C2H8,P05317,A0A6A5Q3Q1,P14126,P07280,P02406,P0CX40,P32905,Q01855,P0CX51,P14120,P0CX35,Q12690,P38011,P0C0V8,P49166,P0C0W1,P10664,Q3E7X9,P05749,P36105,Q3E792,P41805,P0CX37,P05737,P26321,P0CX53,P26784,P06367,P0CX82,P0CX45,P49167,P26786,Q08745,P02407,P05748,P33442,P04449,P0CX33,Q02753,P0CX49,P05747,P05745,P0CX41,P0C2H6,P17076,P0CX55,P0CX25,P35997,P0CX23,P25443,P0C0W9,P0CX29,P26783,P04456,P0CX27,A0A6A5PU37,P04650,P05743,O13516,P38061,Q02326,P0CX84"
Translocation intermediate 2 (TI-2) of 80S S. cerevisiae ribosome with ligands and eEF2 in the presence of sordarin,2.04,EMD-16594,8cdr,"A0A6A5PUG0,P87262,P05756,A0A6A5PVE9,P0CX31,P0CX47,A0A6A5PV92,P05744,P0CH08,P0C2H8,P05317,A0A6A5Q3Q1,P14126,P07280,P02406,P0CX40,P32905,Q01855,P0CX51,P14120,P0CX35,Q12690,P38011,P0C0V8,P49166,P0C0W1,P10664,Q3E7X9,P05749,P36105,Q3E792,P41805,P0CX37,P05737,P26321,P0CX53,P26784,Q02326,P05738,P06367,P0CX82,P0CX45,P49167,P26786,Q08745,P02407,P05748,P04449,P0CX33,Q02753,P05747,A0A6A5Q7K2,P05745,P0CX41,P0C2H6,P17076,P0CX55,P05740,P0CX25,A7A1W1,P35997,P0CX23,P25443,P0C0W9,P0CX29,P26783,P04456,P0CX27,A0A6A5PU37,P0CX86,P04650,P05743,O13516,P38061,P0CX49,P0CX84","A0A6A5PUG0,P87262,P05756,A0A6A5PVE9,P0CX31,P0CX47,A0A6A5PV92,P05744,P0CH08,P0C2H8,P05317,A0A6A5Q3Q1,P14126,P07280,P02406,P0CX40,P32905,Q01855,P0CX51,P14120,P0CX35,Q12690,P38011,P0C0V8,P49166,P0C0W1,P10664,Q3E7X9,P05749,P36105,Q3E792,P41805,P0CX37,P05737,P26321,P0CX53,P26784,Q02326,P05738,P06367,P0CX82,P0CX45,P49167,P26786,Q08745,P02407,P05748,P04449,P0CX33,Q02753,P05747,A0A6A5Q7K2,P05745,P0CX41,P0C2H6,P17076,P0CX55,P05740,P0CX25,A7A1W1,P35997,P0CX23,P25443,P0C0W9,P0CX29,P26783,P04456,P0CX27,A0A6A5PU37,P0CX86,P04650,P05743,O13516,P38061,P0CX49,P0CX84"
Translocation intermediate 1 (TI-1*) of 80S S. cerevisiae ribosome with ligands and eEF2 in the absence of sordarin,3.11,EMD-16702,8cku,"A0A6A5PUG0,P87262,P05756,A0A6A5PVE9,P0CX31,P0CX47,A0A6A5PV92,P05744,P0CH08,P0C2H8,P05317,A0A6A5Q3Q1,P14126,P07280,P02406,P32905,Q01855,P0CX51,P14120,P0CX35,Q12690,P38011,P0C0V8,P49166,P0C0W1,P10664,Q3E7X9,P05749,P36105,Q3E792,P41805,P0CX37,P05737,P26321,P0CX53,P26784,Q02326,P05738,P0CX39,P06367,P0CX82,P0CX45,P49167,P26786,Q08745,P02407,P05748,P33442,P04449,P0CX33,Q02753,P05747,A0A6A5Q7K2,P05745,P0CX41,P0C2H6,P17076,P0CX55,P05740,P0CX25,P35997,P0CX23,A0A8H8UMB4,P0C0W9,P25443,P26783,P04456,P0CX29,P0CX27,A0A6A5PU37,P04650,P05743,O13516,P38061,P0CX49,P0CX84","A0A6A5PUG0,P87262,P05756,A0A6A5PVE9,P0CX31,P0CX47,A0A6A5PV92,P05744,P0CH08,P0C2H8,P05317,A0A6A5Q3Q1,P14126,P07280,P02406,P32905,Q01855,P0CX51,P14120,P0CX35,Q12690,P38011,P0C0V8,P49166,P0C0W1,P10664,Q3E7X9,P05749,P36105,Q3E792,P41805,P0CX37,P05737,P26321,P0CX53,P26784,Q02326,P05738,P0CX39,P06367,P0CX82,P0CX45,P49167,P26786,Q08745,P02407,P05748,P33442,P04449,P0CX33,Q02753,P05747,A0A6A5Q7K2,P05745,P0CX41,P0C2H6,P17076,P0CX55,P05740,P0CX25,P35997,P0CX23,P25443,P0C0W9,P0CX29,P26783,P04456,P0CX27,A0A6A5PU37,P04650,P05743,O13516,P38061,P0CX49,P0CX84"
Translocation intermediate 1 (TI-1) of 80S S. cerevisiae ribosome with ligands and eEF2 in the presence of sordarin,2.71,EMD-16616,8cf5,"A0A6A5PUG0,P87262,P05756,A0A6A5PVE9,P0CX31,P0CX47,A0A6A5PV92,P05744,P0CH08,P0C2H8,P05317,A0A6A5Q3Q1,P14126,P07280,P02406,P0CX40,P32905,Q01855,P0CX51,P14120,P0CX35,Q12690,P38011,P0C0V8,P49166,P0C0W1,P10664,Q3E7X9,P05749,P36105,Q3E792,P41805,P0CX37,P05737,P26321,P0CX53,P26784,Q02326,P06367,P0CX82,P0CX45,P49167,A0A8H4FCT7,P26786,Q08745,P02407,P05748,P33442,P04449,P0CX33,Q02753,P05747,A0A6A5Q7K2,P05745,P0CX41,P0C2H6,P17076,P0CX55,P05740,P0CX25,P35997,P0CX23,A0A8H8UMB4,P0C0W9,P25443,P26783,P04456,P0CX29,P0CX27,A0A6A5PU37,P04650,P05743,O13516,P38061,P0CX49,P0CX84","A0A6A5PUG0,P87262,P05756,A0A6A5PVE9,P0CX31,P0CX47,A0A6A5PV92,P05744,P0CH08,P0C2H8,P05317,A0A6A5Q3Q1,P14126,P07280,P02406,P0CX40,P32905,Q01855,P0CX51,P14120,P0CX35,Q12690,P38011,P0C0V8,P49166,P0C0W1,P10664,Q3E7X9,P05749,P36105,Q3E792,P41805,P0CX37,P05737,P26321,P0CX53,P26784,Q02326,P06367,P0CX82,P0CX45,P49167,P26786,Q08745,P02407,P05748,P33442,P04449,P0CX33,Q02753,P05747,A0A6A5Q7K2,P05745,P0CX41,P0C2H6,P17076,P0CX55,P05740,P0CX25,P35997,P0CX23,P25443,P0C0W9,P0CX29,P26783,P04456,P0CX27,A0A6A5PU37,P04650,P05743,O13516,P38061,P0CX49,P0CX84"
Translocation intermediate 5 (TI-5) of 80S S. cerevisiae ribosome with ligands and eEF2 in the presence of sordarin,2.47,EMD-16684,8civ,"A0A6A5PUG0,P87262,P05756,A0A6A5PVE9,P0CX31,P0CX47,A0A6A5PV92,P05744,P0CH08,P0C2H8,P05317,A0A6A5Q3Q1,P14126,P07280,P02406,P0CX40,P32905,Q01855,P0CX51,P14120,P0CX35,Q12690,P38011,P0C0V8,P49166,P0C0W1,P10664,Q3E7X9,P05749,P36105,Q3E792,P41805,P0CX37,P05737,P26321,P0CX53,P26784,Q02326,P06367,P0CX82,P0CX45,P49167,A0A8H4FCT7,P26786,Q08745,P02407,P05748,P33442,P04449,P0CX33,Q02753,P05747,A0A6A5Q7K2,P05745,P0CX41,P0C2H6,P17076,P0CX55,P05740,P0CX25,P35997,P0CX23,A0A8H8UMB4,P0C0W9,P25443,P26783,P04456,P0CX29,P0CX27,A0A6A5PU37,P04650,P05743,O13516,P38061,P0CX49,P0CX84","A0A6A5PUG0,P87262,P05756,A0A6A5PVE9,P0CX31,P0CX47,A0A6A5PV92,P05744,P0CH08,P0C2H8,P05317,A0A6A5Q3Q1,P14126,P07280,P02406,P0CX40,P32905,Q01855,P0CX51,P14120,P0CX35,Q12690,P38011,P0C0V8,P49166,P0C0W1,P10664,Q3E7X9,P05749,P36105,Q3E792,P41805,P0CX37,P05737,P26321,P0CX53,P26784,Q02326,P06367,P0CX82,P0CX45,P49167,P26786,Q08745,P02407,P05748,P33442,P04449,P0CX33,Q02753,P05747,A0A6A5Q7K2,P05745,P0CX41,P0C2H6,P17076,P0CX55,P05740,P0CX25,P35997,P0CX23,P25443,P0C0W9,P0CX29,P26783,P04456,P0CX27,A0A6A5PU37,P04650,P05743,O13516,P38061,P0CX49,P0CX84"
80S S. cerevisiae ribosome with ligands in hybrid-2 pre-translocation (PRE-H2) complex,2.72,EMD-16591,8cdl,"A0A6A5PUG0,P87262,P05756,A0A6A5PVE9,P0CX31,P0CX47,A0A6A5PV92,P05744,P0CH08,P0C2H8,P05317,A0A6A5Q3Q1,P14126,P07280,P02406,P0CX40,P32905,Q01855,P0CX51,P14120,P0CX35,Q12690,P38011,P0C0V8,P49166,P0C0W1,P10664,Q3E7X9,P05749,P36105,Q3E792,P41805,P0CX37,P05737,P26321,P0CX53,P26784,Q02326,P05738,P06367,P0CX82,P0CX45,P49167,P26786,Q08745,P02407,P05748,P04449,P0CX33,Q02753,P05747,P05745,P0CX55,P0CX41,P0C2H6,P17076,P05740,P0CX25,A7A1W1,P35997,P0CX23,P25443,P0C0W9,P0CX29,P26783,P04456,P0CX27,A0A6A5PU37,P0CX86,P04650,P05743,O13516,P38061,P0CX49,P0CX84","A0A6A5PUG0,P87262,P05756,A0A6A5PVE9,P0CX31,P0CX47,A0A6A5PV92,P05744,P0CH08,P0C2H8,P05317,A0A6A5Q3Q1,P14126,P07280,P02406,P0CX40,P32905,Q01855,P0CX51,P14120,P0CX35,Q12690,P38011,P0C0V8,P49166,P0C0W1,P10664,Q3E7X9,P05749,P36105,Q3E792,P41805,P0CX37,P05737,P26321,P0CX53,P26784,Q02326,P05738,P06367,P0CX82,P0CX45,P49167,P26786,Q08745,P02407,P05748,P04449,P0CX33,Q02753,P05747,P05745,P0CX55,P0CX41,P0C2H6,P17076,P05740,P0CX25,A7A1W1,P35997,P0CX23,P25443,P0C0W9,P0CX29,P26783,P04456,P0CX27,A0A6A5PU37,P0CX86,P04650,P05743,O13516,P38061,P0CX49,P0CX84"
"Hypopseudouridylated yeast 80S bound with Taura syndrome virus (TSV) internal ribosome entry site (IRES), eEF2 and GDP, Structure II",2.62,EMD-28635,8evs,"A0A6A5PUZ5,A0A6A5PV92,P05744,P0CH08,P32324,P0CX51,P0CX35,Q12690,B3LMD0,A0A6A5PWR1,A0A1L4AA68,P05749,P05737,A0A6A5PY83,P0CX39,P06367,A0A6A5Q0W8,Q08745,P02407,P05745,P0CX41,P0C2H6,P0CX86,P0C0V8,A0A6A5PZ18,P0CX49,P87262,P05756,P0CX47,A0A6A5Q6F2,P0C2H8,P14120,A0A6A5Q8I3,P49166,P26784,P0CX82,P26786,P0CX45,A0A6A5Q0E8,P0CX33,P0CX29,P35997,P0CX27,O13516,Q02326,A0A6A5Q700,P0CX84,P0CX31,A0A6A5Q2N7,P05317,A0A6A5Q3Q1,P14126,P02406,P38011,A0A6A5Q1M9,A0A6A5PWF7,P0CX37,A0A6A5Q3W0,P05738,P0CX55,P05740,P0CX25,P05743,A0A6A5PSE9,A0A6A5PVE9,A0A6A5Q7I9,P07280,P32905,A0A6A5PUL8,P36105,A0A6A5PRY4,P05748,Q02753,P17076,P04456,A0A6A5PU37,P04650","A0A6A5PUZ5,A0A6A5PV92,P05744,P0CH08,P32324,P0CX51,P0CX35,Q12690,B3LMD0,A0A6A5PWR1,A0A1L4AA68,P05749,P05737,A0A6A5PY83,P0CX39,P06367,A0A6A5Q0W8,Q08745,P02407,P05745,P0CX41,P0C2H6,P0CX86,P0C0V8,A0A6A5PZ18,P0CX49,P87262,P05756,P0CX47,A0A6A5Q6F2,P0C2H8,P14120,A0A6A5Q8I3,P49166,P26784,P0CX82,P26786,P0CX45,A0A6A5Q0E8,P0CX33,P0CX29,P35997,P0CX27,O13516,Q02326,A0A6A5Q700,P0CX84,P0CX31,A0A6A5Q2N7,P05317,A0A6A5Q3Q1,P14126,P02406,P38011,A0A6A5Q1M9,A0A6A5PWF7,P0CX37,A0A6A5Q3W0,P05738,P0CX55,P05740,P0CX25,P05743,A0A6A5PSE9,A0A6A5PVE9,A0A6A5Q7I9,P07280,P32905,A0A6A5PUL8,P36105,A0A6A5PRY4,P05748,Q02753,P17076,P04456,A0A6A5PU37,P04650"
"Hypopseudouridylated yeast 80S bound with Taura syndrome virus (TSV) internal ribosome entry site (IRES), eEF2, GDP, and sordarin, Structure II",2.87,EMD-28634,8evr,"A0A6A5PUZ5,A0A6A5PV92,P05744,P0CH08,P32324,P0CX51,P0CX35,Q12690,B3LMD0,A0A6A5PWR1,A0A1L4AA68,P05749,P05737,A0A6A5PY83,P0CX39,P06367,A0A6A5Q0W8,Q08745,P02407,P05745,P0CX41,P0C2H6,P0CX86,P0C0V8,A0A6A5PZ18,P0CX49,P87262,P05756,P0CX47,A0A6A5Q6F2,P0C2H8,P14120,A0A6A5Q8I3,P49166,P26784,P0CX82,P26786,P0CX45,A0A6A5Q0E8,P0CX33,P0CX29,P35997,P0CX27,O13516,Q02326,A0A6A5Q700,P0CX84,P0CX31,A0A6A5Q2N7,P05317,A0A6A5Q3Q1,P14126,P02406,P38011,A0A6A5Q1M9,A0A6A5PWF7,P0CX37,A0A6A5Q3W0,P05738,P0CX55,P05740,P0CX25,P05743,A0A6A5PSE9,A0A6A5PVE9,A0A6A5Q7I9,P07280,P32905,A0A6A5PUL8,P36105,A0A6A5PRY4,P05748,Q02753,P17076,P04456,A0A6A5PU37,P04650","A0A6A5PUZ5,A0A6A5PV92,P05744,P0CH08,P32324,P0CX51,P0CX35,Q12690,B3LMD0,A0A6A5PWR1,A0A1L4AA68,P05749,P05737,A0A6A5PY83,P0CX39,P06367,A0A6A5Q0W8,Q08745,P02407,P05745,P0CX41,P0C2H6,P0CX86,P0C0V8,A0A6A5PZ18,P0CX49,P87262,P05756,P0CX47,A0A6A5Q6F2,P0C2H8,P14120,A0A6A5Q8I3,P49166,P26784,P0CX82,P26786,P0CX45,A0A6A5Q0E8,P0CX33,P0CX29,P35997,P0CX27,O13516,Q02326,A0A6A5Q700,P0CX84,P0CX31,A0A6A5Q2N7,P05317,A0A6A5Q3Q1,P14126,P02406,P38011,A0A6A5Q1M9,A0A6A5PWF7,P0CX37,A0A6A5Q3W0,P05738,P0CX55,P05740,P0CX25,P05743,A0A6A5PSE9,A0A6A5PVE9,A0A6A5Q7I9,P07280,P32905,A0A6A5PUL8,P36105,A0A6A5PRY4,P05748,Q02753,P17076,P04456,A0A6A5PU37,P04650"
"Hypopseudouridylated yeast 80S bound with Taura syndrome virus (TSV) internal ribosome entry site (IRES), Structure I",2.38,EMD-28632,8evp,"P87262,P05756,A0A6A5PVE9,A0A6A5Q7I9,A0A6A5PUZ5,P0CX47,P0CX31,A0A6A5Q6F2,A0A6A5PV92,P05744,A0A6A5Q2N7,P0CH08,P0C2H8,A0A6A5Q3Q1,P14126,P07280,P02406,P32905,P0CY39,P0CX51,P14120,A0A6A5Q8I3,P0CX35,Q12690,P38011,B3LMD0,A0A6A5Q1M9,A0A6A5PWR1,P49166,A0A6A5PUL8,A0A1L4AA68,A0A6A5PZ18,P36105,P05749,A0A6A5PWF7,P0CX37,P05737,A0A6A5Q3W0,Q02326,P26784,A0A6A5PY83,P05738,P0CX39,P06367,P0CX82,A0A6A5Q0W8,P04650,P26786,P0CX45,A0A6A5PRY4,Q08745,A0A6A5Q0E8,P02407,P05748,P0CX33,Q02753,P0CX49,P0CX55,P05745,P0CX41,P0C2H6,P17076,P05740,P0CX25,P35997,P04456,P0CX27,A0A6A5PU37,P0CX86,P0C0V8,P05743,A0A6A5PSE9,O13516,A0A6A5Q700,P0CX84","P87262,P05756,A0A6A5PVE9,A0A6A5Q7I9,A0A6A5PUZ5,P0CX47,P0CX31,A0A6A5Q6F2,A0A6A5PV92,P05744,A0A6A5Q2N7,P0CH08,P0C2H8,A0A6A5Q3Q1,P14126,P07280,P02406,P32905,P0CY39,P0CX51,P14120,A0A6A5Q8I3,P0CX35,Q12690,P38011,B3LMD0,A0A6A5Q1M9,A0A6A5PWR1,P49166,A0A6A5PUL8,A0A1L4AA68,A0A6A5PZ18,P36105,P05749,A0A6A5PWF7,P0CX37,P05737,A0A6A5Q3W0,Q02326,P26784,A0A6A5PY83,P05738,P0CX39,P06367,P0CX82,A0A6A5Q0W8,P04650,P26786,P0CX45,A0A6A5PRY4,Q08745,A0A6A5Q0E8,P02407,P05748,P0CX33,Q02753,P0CX49,P0CX55,P05745,P0CX41,P0C2H6,P17076,P05740,P0CX25,P35997,P04456,P0CX27,A0A6A5PU37,P0CX86,P0C0V8,P05743,A0A6A5PSE9,O13516,A0A6A5Q700,P0CX84"
"Hypopseudouridylated yeast 80S bound with Taura syndrome virus (TSV) internal ribosome entry site (IRES), eEF2 and GDP, Structure III",2.87,EMD-28642,8ewb,"A0A6A5PUZ5,A0A6A5PV92,P05744,P0CH08,P32324,P0CX51,P0CX35,Q12690,B3LMD0,A0A6A5PWR1,A0A1L4AA68,P05749,P05737,A0A6A5PY83,P0CX39,P06367,A0A6A5Q0W8,Q08745,P02407,P05745,P0CX41,P0C2H6,P0CX86,P0C0V8,A0A6A5PZ18,P0CX49,P87262,P05756,P0CX47,A0A6A5Q6F2,P0C2H8,P14120,A0A6A5Q8I3,P49166,P26784,P0CX82,P26786,P0CX45,A0A6A5Q0E8,P0CX33,P0CX29,P35997,P0CX27,O13516,Q02326,A0A6A5Q700,P0CX84,P0CX31,A0A6A5Q2N7,P05317,A0A6A5Q3Q1,P14126,P02406,P38011,A0A6A5Q1M9,A0A6A5PWF7,P0CX37,A0A6A5Q3W0,P05738,P0CX55,P05740,P0CX25,P05743,A0A6A5PSE9,A0A6A5PVE9,A0A6A5Q7I9,P07280,P32905,A0A6A5PUL8,P36105,A0A6A5PRY4,P05748,Q02753,P17076,P04456,A0A6A5PU37,P04650","A0A6A5PUZ5,A0A6A5PV92,P05744,P0CH08,P32324,P0CX51,P0CX35,Q12690,B3LMD0,A0A6A5PWR1,A0A1L4AA68,P05749,P05737,A0A6A5PY83,P0CX39,P06367,A0A6A5Q0W8,Q08745,P02407,P05745,P0CX41,P0C2H6,P0CX86,P0C0V8,A0A6A5PZ18,P0CX49,P87262,P05756,P0CX47,A0A6A5Q6F2,P0C2H8,P14120,A0A6A5Q8I3,P49166,P26784,P0CX82,P26786,P0CX45,A0A6A5Q0E8,P0CX33,P0CX29,P35997,P0CX27,O13516,Q02326,A0A6A5Q700,P0CX84,P0CX31,A0A6A5Q2N7,P05317,A0A6A5Q3Q1,P14126,P02406,P38011,A0A6A5Q1M9,A0A6A5PWF7,P0CX37,A0A6A5Q3W0,P05738,P0CX55,P05740,P0CX25,P05743,A0A6A5PSE9,A0A6A5PVE9,A0A6A5Q7I9,P07280,P32905,A0A6A5PUL8,P36105,A0A6A5PRY4,P05748,Q02753,P17076,P04456,A0A6A5PU37,P04650"
"Hypopseudouridylated yeast 80S bound with Taura syndrome virus (TSV) internal ribosome entry site (IRES), eEF2 and GDP, Structure I",2.52,EMD-28610,8eub,"A0A6A5PUZ5,A0A6A5PV92,P05744,P0CH08,P32324,P0CX51,P0CX35,Q12690,B3LMD0,A0A6A5PWR1,A0A1L4AA68,P05749,P05737,A0A6A5PY83,P0CX39,P06367,A0A6A5Q0W8,Q08745,P02407,P05745,P0CX41,P0C2H6,P0CX86,P0C0V8,A0A6A5PZ18,P0CX49,P87262,P05756,P0CX47,A0A6A5Q6F2,P0C2H8,P14120,A0A6A5Q8I3,P49166,P26784,P0CX82,P26786,P0CX45,A0A6A5Q0E8,P0CX33,P35997,P0CX27,O13516,Q02326,A0A6A5Q700,P0CX84,P0CX31,A0A6A5Q2N7,P05317,A0A6A5Q3Q1,P14126,P02406,P38011,A0A6A5Q1M9,A0A6A5PWF7,P0CX37,A0A6A5Q3W0,P05738,P0CX55,P05740,P0CX25,P05743,A0A6A5PSE9,A0A6A5PVE9,A0A6A5Q7I9,P07280,P32905,P0CY39,A0A6A5PUL8,P36105,A0A6A5PRY4,P05748,Q02753,P17076,P04456,A0A6A5PU37,P04650","A0A6A5PUZ5,A0A6A5PV92,P05744,P0CH08,P32324,P0CX51,P0CX35,Q12690,B3LMD0,A0A6A5PWR1,A0A1L4AA68,P05749,P05737,A0A6A5PY83,P0CX39,P06367,A0A6A5Q0W8,Q08745,P02407,P05745,P0CX41,P0C2H6,P0CX86,P0C0V8,A0A6A5PZ18,P0CX49,P87262,P05756,P0CX47,A0A6A5Q6F2,P0C2H8,P14120,A0A6A5Q8I3,P49166,P26784,P0CX82,P26786,P0CX45,A0A6A5Q0E8,P0CX33,P35997,P0CX27,O13516,Q02326,A0A6A5Q700,P0CX84,P0CX31,A0A6A5Q2N7,P05317,A0A6A5Q3Q1,P14126,P02406,P38011,A0A6A5Q1M9,A0A6A5PWF7,P0CX37,A0A6A5Q3W0,P05738,P0CX55,P05740,P0CX25,P05743,A0A6A5PSE9,A0A6A5PVE9,A0A6A5Q7I9,P07280,P32905,P0CY39,A0A6A5PUL8,P36105,A0A6A5PRY4,P05748,Q02753,P17076,P04456,A0A6A5PU37,P04650"
"Hypopseudouridylated yeast 80S bound with Taura syndrome virus (TSV) internal ribosome entry site (IRES), Structure II",2.45,EMD-28643,8ewc,"P87262,P05756,A0A6A5PVE9,A0A6A5Q7I9,A0A6A5PUZ5,P0CX47,P0CX31,A0A6A5Q6F2,A0A6A5PV92,P05744,A0A6A5Q2N7,P0CH08,P0C2H8,A0A6A5Q3Q1,P14126,P07280,P02406,P32905,P0CX51,P14120,A0A6A5Q8I3,P0CX35,Q12690,P38011,B3LMD0,A0A6A5Q1M9,A0A6A5PWR1,P49166,A0A6A5PUL8,A0A1L4AA68,A0A6A5PZ18,P36105,P05749,A0A6A5PWF7,P0CX37,P05737,A0A6A5Q3W0,Q02326,P26784,A0A6A5PY83,P05738,P0CX39,P06367,P0CX82,A0A6A5Q0W8,P04650,P26786,P0CX45,A0A6A5PRY4,Q08745,A0A6A5Q0E8,P02407,P05748,P0CX33,Q02753,P0CX49,P0CX55,P05745,P0CX41,P0C2H6,P17076,P05740,P0CX25,P0CX29,P35997,P04456,P0CX27,A0A6A5PU37,P0CX86,P0C0V8,P05743,A0A6A5PSE9,O13516,A0A6A5Q700,P0CX84","P87262,P05756,A0A6A5PVE9,A0A6A5Q7I9,A0A6A5PUZ5,P0CX47,P0CX31,A0A6A5Q6F2,A0A6A5PV92,P05744,A0A6A5Q2N7,P0CH08,P0C2H8,A0A6A5Q3Q1,P14126,P07280,P02406,P32905,P0CX51,P14120,A0A6A5Q8I3,P0CX35,Q12690,P38011,B3LMD0,A0A6A5Q1M9,A0A6A5PWR1,P49166,A0A6A5PUL8,A0A1L4AA68,A0A6A5PZ18,P36105,P05749,A0A6A5PWF7,P0CX37,P05737,A0A6A5Q3W0,Q02326,P26784,A0A6A5PY83,P05738,P0CX39,P06367,P0CX82,A0A6A5Q0W8,P04650,P26786,P0CX45,A0A6A5PRY4,Q08745,A0A6A5Q0E8,P02407,P05748,P0CX33,Q02753,P0CX49,P0CX55,P05745,P0CX41,P0C2H6,P17076,P05740,P0CX25,P0CX29,P35997,P04456,P0CX27,A0A6A5PU37,P0CX86,P0C0V8,P05743,A0A6A5PSE9,O13516,A0A6A5Q700,P0CX84"
Hypopseudouridylated yeast 80S bound with Taura syndrome virus (TSV) internal ribosome entry site (IRES) refined against a composite map,2.2,EMD-28636,8evt,"P87262,P05756,A0A6A5PVE9,A0A6A5Q7I9,A0A6A5PUZ5,P0CX47,P0CX31,A0A6A5Q6F2,A0A6A5PV92,P05744,A0A6A5Q2N7,P0CH08,P0C2H8,A0A6A5Q3Q1,P14126,P07280,P02406,P32905,P0CX51,P14120,A0A6A5Q8I3,P0CX35,Q12690,P38011,B3LMD0,A0A6A5Q1M9,A0A6A5PWR1,P49166,A0A6A5PUL8,A0A1L4AA68,A0A6A5PZ18,P36105,P05749,A0A6A5PWF7,P0CX37,P05737,A0A6A5Q3W0,Q02326,P26784,A0A6A5PY83,P05738,P0CX39,P06367,P0CX82,A0A6A5Q0W8,P04650,P26786,P0CX45,A0A6A5PRY4,Q08745,A0A6A5Q0E8,P02407,P05748,P0CX33,Q02753,P0CX49,P0CX55,P05745,P0CX41,P0C2H6,P17076,P05740,P0CX25,P0CX29,P35997,P04456,P0CX27,A0A6A5PU37,P0CX86,P0C0V8,P05743,A0A6A5PSE9,O13516,A0A6A5Q700,P0CX84","P87262,P05756,A0A6A5PVE9,A0A6A5Q7I9,A0A6A5PUZ5,P0CX47,P0CX31,A0A6A5Q6F2,A0A6A5PV92,P05744,A0A6A5Q2N7,P0CH08,P0C2H8,A0A6A5Q3Q1,P14126,P07280,P02406,P32905,P0CX51,P14120,A0A6A5Q8I3,P0CX35,Q12690,P38011,B3LMD0,A0A6A5Q1M9,A0A6A5PWR1,P49166,A0A6A5PUL8,A0A1L4AA68,A0A6A5PZ18,P36105,P05749,A0A6A5PWF7,P0CX37,P05737,A0A6A5Q3W0,Q02326,P26784,A0A6A5PY83,P05738,P0CX39,P06367,P0CX82,A0A6A5Q0W8,P04650,P26786,P0CX45,A0A6A5PRY4,Q08745,A0A6A5Q0E8,P02407,P05748,P0CX33,Q02753,P0CX49,P0CX55,P05745,P0CX41,P0C2H6,P17076,P05740,P0CX25,P0CX29,P35997,P04456,P0CX27,A0A6A5PU37,P0CX86,P0C0V8,P05743,A0A6A5PSE9,O13516,A0A6A5Q700,P0CX84"
