title,resolution,emdb_id,fitted_pdbs,xref_UNIPROTKB,xref_ALPHAFOLD,Q-score,atom_inclusion,recommended_contour_level
Cryo-EM structure of the 1 hpf zebrafish embryo 80S ribosome,3.2,EMD-13111,7oya,"P62247,Q7ZUG5,Q5BJJ2,Q803F6,Q6DGL9,Q6P5M3,Q6DHL6,P61485,Q6NWC3,Q6IQJ7,Q24JV3,Q7ZV96,Q8JGS9,Q6NX89,Q7ZV82,Q6DGL4,Q6P6E2,Q3B7P7,Q6IQB1,A8E526,Q6Q415,Q1LWH1,Q4VBV2,Q6IQQ0,Q7SXA1,Q6P5L3,Q567N5,Q6Q419,Q6PBZ1,F1QG80,Q24JV1,O42248,Q6PBW7,Q7T1K0,Q6PC80,P62084,Q6PC01,Q7T1J9,A0A0R4IMS3,Q7ZV05,B7ZD34,Q7ZWJ4,Q6PBY1,Q7ZUG6,Q6DGL0,F1QGI3,B0R085,Q6IQI6,Q6PBW3,Q7ZVD9,Q5BKV9,F1QFV6,Q7ZW95,Q6PBI5,A8KB78,Q8JHJ1,Q6Q420,Q90Z10,Q6P6E7,A7YY10,Q6Q417,Q8AW82,A0A0R4ILF4,Q642H9,Q6DHS3,Q6DGM0,Q1LYB7,Q6P0V6,Q6IMW6,Q6P3J5,Q9I9N0,Q7ZWJ7,Q6PBK3,Q5BJA1,Q6IMW8,Q6P2M0,Q6Q421,Q6PC14","P62247,Q7ZUG5,Q5BJJ2,Q803F6,Q6DGL9,Q6P5M3,Q6DHL6,P61485,Q6NWC3,Q6IQJ7,Q24JV3,Q7ZV96,Q8JGS9,Q6NX89,Q7ZV82,Q6DGL4,Q6P6E2,Q3B7P7,Q6IQB1,A8E526,Q6Q415,Q1LWH1,Q4VBV2,Q6IQQ0,Q7SXA1,Q6P5L3,Q567N5,Q6Q419,Q6PBZ1,F1QG80,Q24JV1,O42248,Q6PBW7,Q7T1K0,Q6PC80,P62084,Q6PC01,Q7T1J9,A0A0R4IMS3,Q7ZV05,B7ZD34,Q7ZWJ4,Q6PBY1,Q7ZUG6,Q6DGL0,F1QGI3,B0R085,Q6IQI6,Q6PBW3,Q7ZVD9,Q5BKV9,F1QFV6,Q7ZW95,Q6PBI5,A8KB78,Q8JHJ1,Q6Q420,Q90Z10,Q6P6E7,A7YY10,Q6Q417,Q8AW82,A0A0R4ILF4,Q642H9,Q6DHS3,Q6DGM0,Q1LYB7,Q6P0V6,Q6IMW6,Q6P3J5,Q9I9N0,Q7ZWJ7,Q6PBK3,Q5BJA1,Q6IMW8,Q6P2M0,Q6Q421,Q6PC14",0.521,0.923,0.9
Cryo-EM structure of the 6 hpf zebrafish embryo 80S ribosome,2.4,EMD-13112,7oyb,"Q7ZV82,Q7T1J9,Q90Z10,Q6P6E7,Q6DGL4,A7YY10,Q6Q417,P62247,Q6P6E2,Q3B7P7,Q6IQB1,A8E526,A0A0R4IMS3,Q7ZUG5,Q5BJJ2,Q6Q415,Q642H9,Q7ZV05,B7ZD34,Q1LWH1,Q6DHS3,Q803F6,Q7ZWJ4,Q4VBV2,Q6P5M3,Q6DGL9,Q6PBY1,Q7ZUG6,Q6DHL6,Q6IQQ0,Q7SXA1,Q6P5L3,Q1LYB7,Q567N5,Q6DGL0,Q6DGM0,P61485,Q6Q419,A0A286YBP4,Q6P0V6,Q6PBZ1,F1QGI3,F1QG80,Q6IQI6,Q6IMW6,Q6NWC3,Q7ZWJ7,Q6PBK3,Q5BJA1,Q6IMW8,Q6PBW3,Q7ZVD9,Q5BKV9,Q7ZW95,Q6PBI5,Q24JV1,Q6P2M0,A8KB78,Q24JV3,Q6IQJ7,Q7ZV96,A0A0R4IJ49,Q6Q421,Q6PC14,O42248,Q7T1K0,Q8JGS9,Q6PC01,Q8JHJ1,Q6PC80,P62084,Q6Q420","Q7ZV82,Q7T1J9,Q90Z10,Q6P6E7,Q6DGL4,A7YY10,Q6Q417,P62247,Q6P6E2,Q3B7P7,Q6IQB1,A8E526,A0A0R4IMS3,Q7ZUG5,Q5BJJ2,Q6Q415,Q642H9,Q7ZV05,B7ZD34,Q1LWH1,Q6DHS3,Q803F6,Q7ZWJ4,Q4VBV2,Q6P5M3,Q6DGL9,Q6PBY1,Q7ZUG6,Q6DHL6,Q6IQQ0,Q7SXA1,Q6P5L3,Q1LYB7,Q567N5,Q6DGL0,Q6DGM0,P61485,Q6Q419,A0A286YBP4,Q6P0V6,Q6PBZ1,F1QGI3,F1QG80,Q6IQI6,Q6IMW6,Q6NWC3,Q7ZWJ7,Q6PBK3,Q5BJA1,Q6IMW8,Q6PBW3,Q7ZVD9,Q5BKV9,Q7ZW95,Q6PBI5,Q24JV1,Q6P2M0,A8KB78,Q24JV3,Q6IQJ7,Q7ZV96,A0A0R4IJ49,Q6Q421,Q6PC14,O42248,Q7T1K0,Q8JGS9,Q6PC01,Q8JHJ1,Q6PC80,P62084,Q6Q420",0.528,0.941,0.7
"Cryo-EM structure of the 90S pre-ribosome (Kre33-Noc4) from Chaetomium thermophilum, state B1",3.5,EMD-10052,6rxu,"G0SCT7,G0S3T2,G0SDL4,G0S1A6,G0SCS8,G0S7Z2,G0SAJ6,G0S5F1,G0SF32,G0S445,G0SGM0,G0SE90,G0SF00,G0SF93,G0S273,G0SGY2,G0S3V7,G0SEI5,P0CU28,G0S1Z0,G0S5J4,G0S8Y4,G0RYX2,G0S612,G0S8C4,G0RZM9,G0S7X0,G0RZ99,G0RY94,G0SHI0,G0SDW0,G0S9M9,G0S9I7,G0RZL4,G0S5L1,G0SBN9,G0SHP3,G0SBR7,G0S6J7,G0SG51,G0S0B1,G0S4E3,G0RY45,G0S0Z4,P0CT47,G0SG95,G0S872,G0SAY9,G0RY43,G0SFL1,G0S387,G0S2U4,G0RZL9,G0RY17,G0S902,G0RYF6,G0S4H3,G0S7T8","G0SCT7,G0S3T2,G0SDL4,G0S1A6,G0SCS8,G0S7Z2,G0SAJ6,G0S5F1,G0SF32,G0S445,G0SGM0,G0SE90,G0SF00,G0SF93,G0S273,G0SGY2,G0S3V7,G0SEI5,P0CU28,G0S1Z0,G0S5J4,G0S8Y4,G0RYX2,G0S612,G0S8C4,G0RZM9,G0S7X0,G0RZ99,G0RY94,G0SHI0,G0SDW0,G0S9M9,G0S9I7,G0RZL4,G0SBN9,G0SBR7,G0S6J7,G0SG51,G0S0B1,G0S4E3,G0RY45,G0S0Z4,P0CT47,G0SG95,G0S872,G0SAY9,G0RY43,G0SFL1,G0S387,G0S2U4,G0RZL9,G0RY17,G0S902,G0RYF6,G0S4H3,G0S7T8",0.44,0.77,0.03
Cryo-EM structure of the CBC-ALYREF complex,3.22,EMD-40739,8srr,"Q09161,Q4KL64,P52298","Q09161,Q4KL64,P52298",0.458,0.738,0.06
Cryo-EM structure of the activated spliceosome (Bact complex) at an atomic resolution of 2.5 angstrom,2.5,EMD-30637,7dco,"A0A6A5PW35,P20095,A0A6A5Q3N1,A0A6A5Q466,A0A6A5Q1K7,A0A6A5PW68,A0A6A5PTY9,A0A6A5PZG6,A0A6A5Q895,A0A6A5Q100,A0A6A5Q2G3,A0A6A5PQI0,A0A6A5Q641,Q03772,P0C074,A0A6L1AYM3,A0A6A5Q1E9,A0A6A5Q0W7,A0A6A5PUP5,A0A6A5PT67,A0A6A5Q0I3,Q07930,A0A6L0ZK95,A0A6A5Q318,A0A6A5Q2I8,P40204,A0A6A5Q155,A0A6A5Q0A4,Q02521,A0A6L1ALU2,A0A6A5PYD5,A0A6L0ZSI9,A0A6A5PSM1,A0A6A5Q3H8,P32524,A0A6L0ZMZ1,A0A6A5Q0Z2,Q03654,A0A6A5Q5K4,A0A6A5PZ67,A0A6A5PVM6,A0A6A5Q291","A0A6A5PW35,P20095,A0A6A5Q3N1,A0A6A5Q1K7,A0A6A5PZG6,A0A6A5Q895,A0A6A5Q2G3,Q03772,P0C074,A0A6A5PT67,Q07930,A0A6A5Q0I3,A0A6L0ZK95,A0A6A5Q318,P40204,A0A6A5Q155,Q02521,A0A6L0ZSI9,A0A6A5Q3H8,P32524,A0A6L0ZMZ1,Q03654,A0A6A5Q5K4,A0A6A5PVM6",0.408,0.553,0.015
"Cryo-EM structure of the human SSU processome, state post-A1",2.7,EMD-23938,7mqa,"Q9H6R4,Q14692,P08708,P62241,Q15269,P62081,Q9Y324,Q9UNX4,P62263,P42677,P62701,Q9Y2X3,O00566,P62244,Q9NV06,P62753,P39019,Q9BVJ6,P62847,O75691,P62280,Q86WX3,Q12788,Q9NV31,Q969X6,P62277,P55769,O15213,Q9NRX1,Q9NYH9,O00567,P62249,Q5QJE6,P62266,Q8IWA0,Q9NQZ2,Q01780,Q9Y3A2,P62979,Q15061,Q8IY37,P46782,Q9UNQ2,P22087,Q9H583,Q9UMY1,Q8TED0,Q9Y3A4,Q92979,Q8NI36,Q9Y5J1,Q9Y2P8,Q13895,O43818,Q96G21,P61247,P25398,P62857,P46781","Q9H6R4,Q14692,P08708,P62241,Q15269,P62081,Q9Y324,Q9UNX4,P62263,P42677,P62701,Q9Y2X3,O00566,P62244,Q9NV06,P62753,P39019,Q9BVJ6,P62847,P62280,Q86WX3,Q12788,Q9NV31,Q969X6,P62277,P55769,O15213,Q9NRX1,Q9NYH9,O00567,P62249,Q5QJE6,P62266,Q8IWA0,Q9NQZ2,Q01780,Q9Y3A2,P62979,Q15061,Q8IY37,P46782,Q9UNQ2,P22087,Q9H583,Q9UMY1,Q8TED0,Q9Y3A4,Q92979,Q8NI36,Q9Y5J1,Q9Y2P8,Q13895,O43818,Q96G21,P61247,P25398,P62857,P46781",0.526,0.812,3.28
Cryo-EM structure of the yeast THO-Sub2 complex,3.7,EMD-23527,7luv,"P53552,O13539,P17629,P33441,Q07478","P53552,O13539,P17629,P33441,Q07478",0.453,0.749,0.009
Human NEXT dimer - focused reconstruction of the single MTR4,3.4,EMD-14513,7z52,"Q6NZY4,P42285","Q6NZY4,P42285",0.512,0.548,0.04
"Human m6A-METTL associated complex (WTAP, VIRMA, ZC3H13, and HAKAI)",3.0,EMD-31946,7vf2,"Q69YN4,Q5T200,Q15007","Q69YN4,Q5T200,Q15007",0.484,0.758,0.36
PRMT5 bound to covalent PBM-site inhibitor BRD-6988,2.39,EMD-23609,7m05,"O14744,Q9BQA1","O14744,Q9BQA1",0.624,0.889,5.0
Structure of an ALYREF-exon junction complex hexamer,2.4,EMD-14803,7znj,"Q86V81,P38919,P61326,Q9Y5S9","Q86V81,P38919,P61326,Q9Y5S9",0.608,0.654,0.5
Structure of the U11 snRNP core,3.1,EMD-51234,9gcm,"Q16560,Q8N8D1,Q9BV90","Q16560,Q8N8D1,Q9BV90",0.414,0.765,0.065
Structure of the human nuclear cap-binding complex bound to NCBP3(560-620) and cap-analogue m7GpppG,3.19,EMD-16321,8by6,"Q09161,Q53F19,P52298","Q09161,Q53F19,P52298",0.483,0.839,0.08
Structure of the methylosome-Lsm10/11 complex,2.83,EMD-29677,8g1u,"P83369,O14744,Q9BQA1,Q61189","P83369,O14744,Q9BQA1,Q61189",0.609,0.778,1.0
Structure of the translating Neurospora crassa ribosome arrested by cycloheximide,2.7,EMD-24307,7r81,"Q8X034,Q7SDH0,Q1K5V9,Q7S156,Q7RV75,V5IMG5,Q7SDY8,V5IPM8,Q7RW15,Q7RVN0,Q7SC06,P21772,V5IQT8,Q9HE25,Q01369,Q7SGF1,Q7RVN2,Q7RZP9,Q1K580,Q7SEP1,Q9HE74,Q6MFL6,Q7S5N9,P14799,Q1K7B7,Q7S7F0,Q1K6Z3,Q7S709,Q7SI18,V5INI1,Q7RVK8,V5INQ2,Q873A6,V5ILK7,Q1K4V7,A7UW39,Q9C2B9,Q7S2X9,Q01291,Q7SBD5,Q7RVI1,Q7SBS9,Q7S3G1,Q871N9,O93798,Q7SHJ9,Q7S1Z1,P08978,O59953,U9WGG3,Q7RVY8,Q7S503,Q7SDU2,Q7S6W5,A0A0B0DYT5,Q7SFZ2,Q7RV52,Q9C2P2,Q7SH22,Q7SE03,Q7S7F1,P59671,Q7RXJ4,V5IQ48,Q7SBB3,Q7RVQ9,O43105,Q7RXY1,Q7SDY7,Q7SBD8,P27770,Q7SFJ9,Q7RXX0,Q7RV74,Q7SGA6","Q8X034,Q7SDH0,Q1K5V9,Q7S156,Q7RV75,V5IMG5,Q7SDY8,V5IPM8,Q7RW15,Q7RVN0,Q7SC06,P21772,V5IQT8,Q9HE25,Q01369,Q7SGF1,Q7RVN2,Q7RZP9,Q1K580,Q7SEP1,Q9HE74,Q6MFL6,Q7S5N9,P14799,Q1K7B7,Q7S7F0,Q1K6Z3,Q7S709,Q7SI18,V5INI1,Q7RVK8,V5INQ2,Q873A6,V5ILK7,Q1K4V7,A7UW39,Q9C2B9,Q7S2X9,Q01291,Q7SBD5,Q7RVI1,Q7SBS9,Q7S3G1,Q871N9,O93798,Q7SHJ9,Q7S1Z1,P08978,O59953,U9WGG3,Q7RVY8,Q7S503,Q7SDU2,Q7S6W5,A0A0B0DYT5,Q7SFZ2,Q7RV52,Q9C2P2,Q7SH22,Q7SE03,Q7S7F1,P59671,Q7RXJ4,V5IQ48,Q7SBB3,Q7RVQ9,O43105,Q7RXY1,Q7SDY7,Q7SBD8,P27770,Q7SFJ9,Q7RXX0,Q7RV74,Q7SGA6",0.539,0.657,0.5
Substrate-bound A-like U2 snRNP,2.1,EMD-13811,7q4o,"Q15393,Q12874,Q7RTV0,Q15428,Q9Y3B4,O75533,Q13435,Q9BWJ5","Q15393,Q12874,Q7RTV0,Q15428,Q9Y3B4,O75533,Q13435,Q9BWJ5",0.464,0.667,0.00561
Translocation intermediate 2 (TI-2) of 80S S. cerevisiae ribosome with ligands and eEF2 in the presence of sordarin,2.04,EMD-16594,8cdr,"P38011,P05738,P05740,P0CX47,P0CX29,P05749,Q02753,P38061,P06367,P05317,P0C2H8,P0CX51,P05737,P0CX55,P07280,P0CX33,P04456,P87262,P0CX35,Q12690,P04650,P04449,A0A6A5PUG0,Q02326,P05747,P14120,A7A1W1,P05745,Q08745,P26786,P0CX40,A0A6A5PV92,Q3E7X9,Q3E792,P0CX49,P14126,P41805,P0CX84,P49167,P32905,Q01855,P0CX41,P0CX86,A0A6A5Q3Q1,P49166,P0CX37,P25443,P0CX45,P0CX27,P05744,P0C0W1,P35997,P0CX82,P26321,P0CX25,P10664,P05756,P36105,A0A6A5Q7K2,P05748,P0C2H6,P26783,O13516,P0C0V8,P17076,P0C0W9,P02407,A0A6A5PVE9,P05743,P0CH08,P0CX31,P02406,A0A6A5PU37,P26784,P0CX53,P0CX23","P38011,P05738,P05740,P0CX47,P0CX29,P05749,Q02753,P38061,P06367,P05317,P0C2H8,P0CX51,P05737,P0CX55,P07280,P0CX33,P04456,P87262,P0CX35,Q12690,P04650,P04449,A0A6A5PUG0,Q02326,P05747,P14120,A7A1W1,P05745,Q08745,P26786,P0CX40,A0A6A5PV92,Q3E7X9,Q3E792,P0CX49,P14126,P41805,P0CX84,P49167,P32905,Q01855,P0CX41,P0CX86,A0A6A5Q3Q1,P49166,P0CX37,P25443,P0CX45,P0CX27,P05744,P0C0W1,P35997,P0CX82,P26321,P0CX25,P10664,P05756,P36105,A0A6A5Q7K2,P05748,P0C2H6,P26783,O13516,P0C0V8,P17076,P0C0W9,P02407,A0A6A5PVE9,P05743,P0CH08,P0CX31,P02406,A0A6A5PU37,P26784,P0CX53,P0CX23",0.615,0.885,0.157
Trypanosoma brucei nuclear cap-binding complex (CBC) bound to cap0,2.4,EMD-50173,9f3f,"Q38BU6,Q387Z0,Q585L4","Q38BU6,Q387Z0,Q585L4",0.565,0.866,0.01
"Yeast post-catalytic P complex spliceosome, state I, overall map",2.31,EMD-47157,9dtr,"P43321,P53277,P40567,Q12330,P53913,P28004,P36048,P33334,Q04048,Q08963,Q03772,Q06217,Q12417,P40968,Q12046,P24384,Q02775,P53333,P25337,P33411,Q03375,P38241,P40204,P32523,P21374,Q02260,Q03654,P40018,Q12309,P54999,P38302,Q06091","P43321,P53277,P40567,Q12330,P53913,P28004,P36048,P33334,Q04048,Q08963,Q03772,Q06217,Q12417,P40968,Q12046,P24384,Q02775,P53333,P25337,P33411,Q03375,P38241,P40204,P32523,P21374,Q02260,Q03654,P40018,Q12309,P54999,P38302,Q06091",0.419,0.383,0.02
cryo-EM structure of the DEAH-box helicase Prp2,2.9,EMD-30639,7dcq,A0A6A5Q5S8,,0.522,0.624,0.015
cryo-EM structure of yeast THO complex with Sub2,3.4,EMD-31670,7v2y,"P53851,P53552,P33441,O13539,P17629,Q07478","P53851,P53552,P33441,O13539,P17629,Q07478",0.431,0.722,0.025
